gene,ensg,tumor_median_log2,normal_median_log2,fc_log2,gtex_positive_count,tumor_positive_rate,tsi,tsi_norm,rank
ILDR1,ENSG00000145103,2.183,-4.293,6.48,2967,0.742,0.088,0.9999999991596639,1
CLDN3,ENSG00000165215,4.814,-2.388,7.2,4280,0.763,0.084,0.9663865538097594,2
PRSS8,ENSG00000052344,6.189,-1.181,7.37,6139,0.829,0.078,0.9159663857849023,3
CLDN4,ENSG00000189143,7.182,-0.15,7.33,6980,0.847,0.074,0.8823529404349976,4
CDH1,ENSG00000039068,6.32,0.016,6.3,6288,0.912,0.073,0.8739495790975214,5
EPCAM,ENSG00000119888,7.198,1.043,6.15,6900,0.882,0.065,0.8067226883977121,6
SDC1,ENSG00000115884,6.443,0.994,5.45,7377,0.972,0.062,0.7815126043852836,7
CD24,ENSG00000272398,8.341,2.778,5.56,7775,0.963,0.061,0.7731092430478074,8
CRB3,ENSG00000130545,4.601,-0.759,5.36,6090,0.842,0.058,0.7478991590353788,9
TACSTD2,ENSG00000184292,6.489,0.706,5.78,7278,0.813,0.055,0.7226890750229503,10
CLDN7,ENSG00000181885,6.468,2.078,4.39,7641,0.93,0.047,0.6554621843231411,11
RAET1L,ENSG00000155918,-3.047,-9.966,6.92,1376,0.245,0.046,0.6470588229856649,12
CDH3,ENSG00000062038,4.475,0.085,4.39,6168,0.827,0.046,0.6470588229856649,13
IGSF9,ENSG00000085552,2.484,-1.781,4.27,4729,0.736,0.046,0.6470588229856649,14
LAMP3,ENSG00000078081,1.571,-2.466,4.04,4243,0.732,0.045,0.6386554616481888,15
TREM2,ENSG00000095970,3.69,-0.057,3.75,6544,0.959,0.044,0.6302521003107125,16
SERINC2,ENSG00000168528,6.529,2.755,3.77,7807,0.98,0.042,0.6134453776357603,17
GJB2,ENSG00000165474,3.354,-0.711,4.06,6682,0.842,0.042,0.6134453776357603,18
CCR8,ENSG00000179934,-2.548,-9.966,7.42,585,0.137,0.042,0.6134453776357603,19
VTCN1,ENSG00000134258,-0.492,-4.608,4.12,2069,0.462,0.042,0.6134453776357603,20
SLC44A4,ENSG00000204385,2.868,-1.47,4.34,4986,0.668,0.041,0.6050420162982841,21
DSG2,ENSG00000046604,4.788,1.118,3.67,6431,0.881,0.04,0.5966386549608079,22
CEACAM6,ENSG00000086548,1.148,-3.047,4.19,3686,0.563,0.039,0.5882352936233318,23
TSPAN1,ENSG00000117472,5.348,1.512,3.84,7486,0.881,0.039,0.5882352936233318,24
CLDN1,ENSG00000163347,4.328,0.547,3.78,7049,0.86,0.039,0.5882352936233318,25
SEZ6L2,ENSG00000174938,4.42,0.896,3.52,7284,0.939,0.039,0.5882352936233318,26
SLC6A14,ENSG00000268104,-2.114,-6.506,4.39,1810,0.368,0.038,0.5798319322858556,27
EFNA2,ENSG00000099617,-3.047,-9.966,6.92,2407,0.265,0.037,0.5714285709483794,28
CDCP1,ENSG00000163814,3.321,-0.267,3.59,6465,0.833,0.037,0.5714285709483794,29
F2RL1,ENSG00000164251,3.075,-0.166,3.24,6220,0.873,0.036,0.5630252096109033,30
