gene,uniprot_id,pdb_file
MST1R,Q04912,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q04912-F1-model_v6.pdb
CD9,P21926,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P21926-F1-model_v6.pdb
RHBDL2,Q9NX52,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9NX52-F1-model_v6.pdb
CD300LF,Q8TDQ1,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q8TDQ1-F1-model_v6.pdb
LAMP2,P13473,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P13473-F1-model_v6.pdb
MPZL3,Q6UWV2,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q6UWV2-F1-model_v6.pdb
PMEPA1,Q969W9,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q969W9-F1-model_v6.pdb
UGT8,Q16880,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q16880-F1-model_v6.pdb
CD300A,Q9UGN4,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9UGN4-F1-model_v6.pdb
SIT1,Q9Y3P8,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9Y3P8-F1-model_v6.pdb
C3AR1,Q16581,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q16581-F1-model_v6.pdb
SLC37A1,P57057,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P57057-F1-model_v6.pdb
SLC29A3,Q9BZD2,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9BZD2-F1-model_v6.pdb
FGFR3,P22607,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P22607-F1-model_v6.pdb
TSPAN15,O95858,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O95858-F1-model_v6.pdb
ERMP1,Q7Z2K6,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q7Z2K6-F1-model_v6.pdb
PTPRJ,Q12913,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q12913-F1-model_v6.pdb
ERBB2,P04626,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P04626-F1-model_v6.pdb
CD53,P19397,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P19397-F1-model_v6.pdb
TNFSF13B,Q9Y275,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9Y275-F1-model_v6.pdb
SLC16A1,P53985,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P53985-F1-model_v6.pdb
ACE,P12821,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P12821-F1-model_v6.pdb
APLNR,P35414,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P35414-F1-model_v6.pdb
