gene	uniprot_id	pdb_file
CLDN4	O14493	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O14493-F1-model_v6.pdb
PRSS8	Q16651	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q16651-F1-model_v6.pdb
CDH1	P12830	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P12830-F1-model_v6.pdb
ILDR1	Q86SU0	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q86SU0-F1-model_v6.pdb
CLDN3	O15551	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O15551-F1-model_v6.pdb
SDC1	P18827	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P18827-F1-model_v6.pdb
CD24	P25063	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P25063-F1-model_v6.pdb
EPCAM	P16422	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P16422-F1-model_v6.pdb
CRB3	Q9BUF7	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9BUF7-F1-model_v6.pdb
TACSTD2	P09758	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P09758-F1-model_v6.pdb
CLDN7	O95471	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O95471-F1-model_v6.pdb
SERINC2	Q96SA4	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q96SA4-F1-model_v6.pdb
TREM2	Q9NZC2	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9NZC2-F1-model_v6.pdb
CDH3	P22223	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P22223-F1-model_v6.pdb
SEZ6L2	Q6UXD5	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q6UXD5-F1-model_v6.pdb
GJB2	P29033	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P29033-F1-model_v6.pdb
TSPAN1	O60635	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O60635-F1-model_v6.pdb
DSG2	Q14126	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q14126-F1-model_v6.pdb
SPINT2	O43291	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O43291-F1-model_v6.pdb
CLDN1	O95832	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O95832-F1-model_v6.pdb
IGSF9	Q9P2J2	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9P2J2-F1-model_v6.pdb
LAMP3	Q9UQV4	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9UQV4-F1-model_v6.pdb
CDCP1	Q9H5V8	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9H5V8-F1-model_v6.pdb
F2RL1	P55085	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P55085-F1-model_v6.pdb
GPR160	Q9UJ42	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9UJ42-F1-model_v6.pdb
SLC44A4	Q53GD3	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q53GD3-F1-model_v6.pdb
CXADR	P78310	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P78310-F1-model_v6.pdb
SCNN1A	P37088	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P37088-F1-model_v6.pdb
PTK7	Q13308	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q13308-F1-model_v6.pdb
FCGR1A	P12314	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P12314-F1-model_v6.pdb
HLA-DQA1	P01909	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P01909-F1-model_v6.pdb
SLC12A8	A0AV02	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-A0AV02-F1-model_v6.pdb
