,04,05,06,09,13,22,23,24,25,29,2G,2Y,2Z,33,43,44,49,50,55,56,60,61,63,66,77,78,85,86,97,A2,A3,A4,A6,A7,A8,AA,AC,AJ,AK,AN,AO,AR,AX,B0,B6,B8,BA,BB,BC,BF,BH,BJ,BP,BQ,BR,BT,C5,C8,CC,CD,CF,CG,CH,CJ,CM,CN,CQ,CR,CV,CZ,D5,D6,D7,D8,DB,DD,DJ,DK,DM,DU,DX,E1,E2,E7,E9,EA,EB,EJ,EK,EL,EM,ET,EW,FD,FG,FY,G3,G4,G9,GM,HC,HT,HU,HZ,IB,J4,KK,KL,L5,LN,OL,OR,P5,QH,QR,RW,S9,V1,V4,VD,VQ,VS,WB,XF,XU,YL,ZB,ZF,ZG
MUC1,8.8,9.33,3.93,8.27,8.98,6.41,8.64,8.86,8.67,8.43,1.98,-0.07,7.39,7.04,6.2,8.69,10.15,9.54,9.83,6.78,7.07,8.76,6.31,6.65,6.02,10.35,6.19,10.2,10.56,8.36,5.49,5.9,5.4,8.35,8.86,6.49,9.23,8.97,5.94,8.15,8.56,8.43,8.84,6.14,9.05,5.42,5.68,5.64,0.96,2.08,8.92,5.52,5.89,3.88,7.81,6.8,7.61,7.9,0.65,7.97,5.91,8.48,3.96,5.74,6.18,5.38,4.73,5.05,5.21,5.57,6.57,5.67,8.93,8.5,2.68,-0.31,6.54,7.33,6.77,2.51,3.77,2.97,8.88,7.65,8.43,8.03,2.16,3.91,7.55,7.05,4.76,6.72,8.03,7.63,2.71,5.95,0.07,6.83,4.26,8.88,4.14,2.64,8.53,9.37,9.11,4.96,4.26,7.19,8.42,5.09,9.2,-0.36,2.48,2.72,-0.6,-0.83,2.63,3.8,0.91,0.24,9.35,8.15,-0.65,7.58,2.2,4.04,2.89,7.78,3.6
CD24,8.88,7.67,4.75,8.47,8.68,7.64,8.6,9.07,8.96,9.6,7.6,4.94,10.55,7.59,7.51,7.31,7.2,7.38,7.82,7.68,7.61,8.75,7.26,7.62,7.49,6.86,7.56,7.81,7.66,9.26,10.27,10.95,9.38,8.99,9.37,9.52,9.0,9.81,9.92,9.38,9.02,9.62,8.6,9.93,9.54,10.44,8.41,8.35,6.73,1.23,9.34,10.09,10.2,10.25,8.97,8.42,8.33,9.44,6.98,8.71,7.64,8.93,8.07,10.02,9.48,7.64,8.28,8.47,8.22,10.37,9.65,7.93,9.4,9.66,6.4,5.56,9.91,8.39,9.44,6.21,2.74,6.3,9.27,7.76,9.24,8.19,2.11,7.5,7.96,9.73,10.15,9.92,9.58,8.04,6.29,10.25,4.3,9.26,7.6,8.9,7.83,6.12,9.15,8.83,8.43,7.55,7.77,8.93,9.52,7.76,9.77,-1.88,5.91,6.22,7.61,8.5,6.34,7.12,-2.94,-3.46,9.55,8.61,8.94,7.88,1.26,7.53,1.84,8.23,7.71
ILDR1,2.58,2.93,-3.93,2.48,2.55,2.34,2.59,3.06,3.14,2.56,-0.98,-2.31,3.3,2.51,2.16,2.52,2.74,3.0,2.9,2.66,2.32,2.99,2.19,2.57,2.47,2.89,2.63,2.99,3.31,2.58,1.49,3.39,2.5,2.55,3.22,2.99,2.47,2.7,1.07,2.57,2.47,2.77,2.12,1.24,2.79,1.99,1.49,1.89,-0.81,-4.61,2.85,3.57,1.26,2.49,1.87,1.83,2.18,2.66,-1.88,2.31,1.76,2.28,3.93,1.55,2.98,1.54,0.56,1.54,1.09,1.52,2.77,0.86,2.71,3.07,-4.81,-3.11,3.6,2.08,2.62,-4.29,-4.61,-4.29,2.87,2.7,2.66,2.78,-4.04,3.78,1.75,3.19,3.33,3.63,2.91,1.63,-4.61,3.31,-3.72,2.87,3.31,2.08,3.58,-4.29,2.21,2.76,2.58,3.24,3.2,4.39,2.63,2.03,2.61,-4.61,-5.01,-5.01,-9.97,-9.97,-4.29,3.26,-6.04,-9.97,2.41,2.86,-6.04,1.82,-0.69,3.52,1.3,2.44,3.27
SEZ6L2,4.49,4.81,4.67,4.79,4.82,4.05,4.66,4.8,4.82,4.39,4.09,0.99,5.65,2.59,3.86,4.36,5.14,4.96,5.05,4.61,3.63,4.84,3.85,3.51,3.97,4.66,3.92,5.47,5.16,4.37,4.91,5.96,3.8,4.4,4.29,3.81,4.86,5.02,4.05,4.15,4.55,4.38,4.09,4.65,4.81,4.45,2.91,3.33,1.31,3.37,4.48,2.48,4.43,5.76,4.39,3.9,3.63,4.49,2.16,4.49,3.22,4.19,5.89,4.75,4.38,2.37,2.22,3.0,2.56,4.9,4.39,2.06,5.17,4.79,5.78,1.68,3.53,3.64,3.73,5.33,2.14,4.88,4.61,3.66,4.4,3.83,3.61,5.9,3.58,3.46,2.08,3.55,4.39,3.34,5.53,3.19,-1.19,4.29,5.84,4.53,5.89,5.38,4.22,4.94,4.86,5.82,5.71,-0.69,4.95,3.84,4.97,5.19,5.26,6.07,7.92,8.03,5.64,5.61,4.88,4.69,5.33,3.76,8.43,3.98,-0.51,5.44,0.57,4.16,4.91
CDH1,5.43,6.61,0.16,5.3,5.0,6.67,5.5,5.65,6.08,5.49,5.62,5.52,3.7,6.64,6.97,6.65,6.82,6.7,6.92,7.09,6.62,5.93,6.56,6.17,6.94,6.95,6.83,6.78,6.85,6.83,4.77,3.93,7.17,6.04,7.23,7.24,5.47,6.78,4.51,7.24,6.99,6.54,5.75,4.12,6.87,4.66,6.64,6.6,5.58,6.52,7.07,7.46,4.44,4.51,6.5,6.73,6.66,7.43,4.64,5.99,6.7,7.1,7.8,4.51,7.33,6.75,6.63,6.94,6.81,4.92,7.61,6.9,7.09,7.26,0.5,4.96,7.59,6.94,7.23,0.87,-2.32,0.48,7.07,7.07,6.93,6.75,5.63,7.52,6.44,7.67,7.37,7.55,7.03,6.92,0.09,7.66,5.1,7.39,7.28,6.06,7.23,0.37,6.93,6.8,6.75,7.23,6.76,6.61,7.67,6.81,6.48,-5.57,-0.6,-0.2,-5.29,-4.81,-0.2,7.01,6.34,6.65,7.27,6.83,-5.76,6.35,5.67,6.98,6.19,6.79,6.64
ITGB4,5.99,6.1,5.05,6.13,6.41,7.38,6.48,6.77,6.37,5.87,3.54,2.13,5.87,7.11,6.98,5.76,6.3,6.61,6.4,7.97,7.23,6.46,7.57,7.06,8.08,6.28,7.8,5.87,6.16,5.62,4.23,5.49,7.03,5.69,5.1,6.78,5.78,5.51,3.85,5.96,5.56,5.53,6.1,4.42,5.63,4.51,8.18,8.14,2.36,3.35,5.52,4.64,4.32,4.71,7.09,8.25,7.92,5.53,2.92,7.27,8.77,7.1,4.14,4.44,7.24,8.26,8.67,8.15,8.49,4.32,7.17,8.73,7.43,5.52,4.7,2.16,5.19,8.0,7.27,4.37,2.42,6.03,5.81,8.46,5.34,7.83,4.29,4.55,8.3,5.59,4.37,5.48,5.79,8.28,4.88,4.28,1.98,7.36,4.51,5.66,4.44,4.7,7.23,7.44,7.22,5.1,4.24,2.31,8.04,8.42,5.7,0.79,5.12,4.62,2.44,2.32,4.59,4.55,2.74,2.68,7.91,7.77,2.2,8.06,4.55,4.06,5.31,8.12,4.15
TGFA,0.32,3.33,1.46,0.91,0.3,3.52,0.9,1.4,1.68,0.41,-0.24,-1.44,3.62,3.48,3.17,3.14,2.83,2.91,3.28,3.94,3.52,1.98,3.29,3.97,3.9,2.73,3.82,2.51,2.66,1.02,5.67,3.84,2.74,0.86,0.44,2.51,0.66,2.48,4.78,0.46,0.35,1.5,1.37,5.11,0.93,5.48,4.68,4.01,0.24,-0.89,1.09,4.21,5.49,3.51,2.61,3.16,3.67,1.34,-1.04,2.18,2.13,3.46,0.96,5.21,2.7,4.6,4.7,4.61,4.36,5.91,2.89,4.29,3.07,0.77,2.01,-1.94,4.79,3.52,2.4,2.35,-0.09,1.73,0.64,2.55,0.47,3.39,-0.45,1.23,3.22,4.49,4.09,4.95,1.35,3.44,2.15,4.65,-1.97,2.66,0.31,0.48,0.67,2.11,2.36,3.61,3.84,0.14,0.22,-2.44,3.9,4.48,0.95,-1.94,1.83,2.42,-2.47,-3.17,2.49,0.61,-2.25,-2.73,2.87,3.51,-2.15,3.24,0.07,0.51,0.95,2.98,0.69
LY75,2.42,2.97,0.89,2.54,2.2,2.6,2.64,3.01,2.75,2.41,1.78,-1.0,-0.1,1.07,2.76,2.84,2.25,2.56,2.68,2.39,2.93,3.01,1.85,2.36,2.0,2.61,1.91,2.46,2.54,2.32,1.99,0.96,4.29,2.35,2.26,4.29,1.61,3.17,1.75,1.81,2.22,2.99,2.21,1.83,1.9,2.71,2.07,2.78,-1.0,-1.47,2.4,3.78,1.88,0.0,3.67,2.66,2.88,1.38,-1.69,3.64,2.38,3.54,0.49,2.19,4.09,2.75,2.07,3.15,1.89,2.34,4.63,1.41,4.04,2.52,-0.42,-1.76,4.31,2.41,3.79,0.15,0.16,-0.03,2.4,2.77,2.07,3.0,-1.12,0.23,2.76,3.76,3.41,4.1,2.44,2.57,-0.13,4.24,-1.99,4.25,-1.03,1.74,-0.01,0.29,4.11,3.98,3.9,-0.81,-0.55,-1.84,4.4,2.37,1.73,-0.81,-0.26,-0.51,-0.38,-0.17,0.2,-0.04,-3.31,-3.31,4.29,3.17,0.47,2.41,3.13,-0.39,3.92,2.88,0.23
TMEM132A,5.16,4.49,6.41,5.18,4.9,5.28,5.07,4.82,5.13,5.01,4.93,0.68,4.42,5.5,5.81,4.33,4.13,4.43,4.63,5.79,5.65,4.94,5.6,5.53,5.72,3.78,6.08,4.63,4.14,5.23,3.32,4.39,3.94,5.01,5.07,3.83,5.41,6.45,2.86,5.4,5.21,5.36,6.49,3.96,5.54,3.87,5.56,4.88,1.29,4.36,5.15,2.25,3.56,3.57,3.94,5.53,5.22,5.76,2.32,3.95,4.16,3.68,4.48,3.96,4.04,5.69,5.78,5.48,5.75,3.39,3.93,6.2,4.23,5.29,6.36,1.16,2.21,5.27,3.66,6.09,4.59,6.16,5.35,4.65,5.24,5.62,3.77,4.25,5.19,2.42,2.14,2.32,5.71,5.4,6.54,2.28,0.86,4.36,4.44,5.88,4.46,6.27,3.48,4.05,4.52,4.5,4.98,2.76,4.55,6.17,5.81,6.11,6.48,6.34,4.32,4.34,6.24,4.54,2.11,1.88,4.11,5.29,3.79,5.31,3.01,4.71,2.79,5.17,4.54
MET,1.32,4.93,0.95,1.84,1.22,4.45,1.61,1.89,2.08,1.77,1.58,4.01,6.06,4.37,3.84,5.01,4.97,4.83,4.85,4.28,4.67,1.47,4.35,4.61,4.59,4.66,4.49,4.68,4.95,2.21,5.72,6.84,4.88,1.97,0.74,4.7,1.51,3.12,5.27,1.22,1.7,2.36,2.51,5.54,1.46,5.88,4.17,3.74,4.52,2.5,1.98,5.09,5.54,6.11,4.36,3.64,3.92,2.05,4.01,3.85,2.75,4.71,1.81,5.68,5.08,4.52,4.25,4.39,4.34,6.13,5.1,4.6,4.79,2.03,-1.78,4.1,6.54,3.74,4.61,-0.73,1.23,-0.58,1.69,3.27,1.34,3.75,2.68,2.2,3.94,6.37,5.14,6.55,1.7,3.94,-1.35,6.37,3.84,4.9,0.98,1.29,1.47,-0.43,3.94,4.53,5.15,1.26,0.61,5.76,5.27,4.69,1.59,-0.17,-1.53,-1.99,-0.83,-1.27,-1.09,1.65,5.45,5.76,5.0,3.97,-0.31,3.66,2.54,1.1,3.81,3.69,1.48
