gene,depmap_median,depmap_label
MUC1,-0.13455896202949535,Non-essential
ABCC5,0.07345121724888734,Non-essential
ILDR1,0.00449003491683425,Non-essential
RHBDF2,-0.19188245630074657,Non-essential
CDH1,-0.0778074377143686,Non-essential
LY75,0.01859964190735675,Non-essential
ABCC4,0.12964385706404147,Non-essential
CLDN4,0.0492802975086306,Non-essential
ABCA12,0.0147802767617644,Non-essential
SLC29A3,-0.0327084810632418,Non-essential
EPCAM,-0.13453040738648508,Non-essential
CACHD1,-0.02865238615677905,Non-essential
RAET1L,-0.0632837516645214,Non-essential
CLDN3,0.10192763014880465,Non-essential
NETO1,0.07735105246692134,Non-essential
ANO6,0.005084054979998949,Non-essential
UNC93A,0.0701394581118148,Non-essential
ATP2B4,-0.20549267079087014,Non-essential
ATP13A3,-0.01264391699844655,Non-essential
ABCA1,0.01083110257738155,Non-essential
SLITRK4,0.0629940287228361,Non-essential
CDCP1,-0.01139308407706985,Non-essential
CDH3,0.00286070954503935,Non-essential
PRSS8,-0.01263341251302995,Non-essential
SLCO4C1,-0.00618060021772245,Non-essential
TSPAN1,-0.0753725143693718,Non-essential
MMEL1,-0.0838671325343793,Non-essential
SLC52A3,0.10080924910246365,Non-essential
ABCB11,-0.027124017247913253,Non-essential
TACSTD2,-0.0935735827287819,Non-essential
