gene,known_cancer_associations,disgenet_url
MUC1,See DisGeNET,https://www.disgenet.org/search?q=MUC1
CDH1,See DisGeNET,https://www.disgenet.org/search?q=CDH1
CD24,See DisGeNET,https://www.disgenet.org/search?q=CD24
SEZ6L2,See DisGeNET,https://www.disgenet.org/search?q=SEZ6L2
CLDN4,See DisGeNET,https://www.disgenet.org/search?q=CLDN4
ILDR1,See DisGeNET,https://www.disgenet.org/search?q=ILDR1
EPCAM,See DisGeNET,https://www.disgenet.org/search?q=EPCAM
MET,See DisGeNET,https://www.disgenet.org/search?q=MET
LY75,See DisGeNET,https://www.disgenet.org/search?q=LY75
HLA-DMB,See DisGeNET,https://www.disgenet.org/search?q=HLA-DMB
ITGB4,See DisGeNET,https://www.disgenet.org/search?q=ITGB4
CD48,See DisGeNET,https://www.disgenet.org/search?q=CD48
TMEM132A,See DisGeNET,https://www.disgenet.org/search?q=TMEM132A
ITGB6,See DisGeNET,https://www.disgenet.org/search?q=ITGB6
EPHB2,See DisGeNET,https://www.disgenet.org/search?q=EPHB2
SLC39A4,See DisGeNET,https://www.disgenet.org/search?q=SLC39A4
RNF128,See DisGeNET,https://www.disgenet.org/search?q=RNF128
TGFA,See DisGeNET,https://www.disgenet.org/search?q=TGFA
ZP3,See DisGeNET,https://www.disgenet.org/search?q=ZP3
CADM1,See DisGeNET,https://www.disgenet.org/search?q=CADM1
