category,term,number_of_genes,number_of_genes_in_background,ncbiTaxonId,inputGenes,preferredNames,p_value,fdr,description,neg_log10_p
Component,GO:0031224,30,5828,9606,"['TMEM132A', 'ITGB4', 'RNF128', 'CDH1', 'LY75', 'EPCAM', 'ITGB6', 'SLC39A4', 'SIRPG', 'MET', 'PRSS8', 'GPR39', 'CADM1', 'ILDR1', 'TACSTD2', 'TSPAN1', 'HLA-DQB1', 'ZP3', 'CLDN3', 'EPHB2', 'CD14', 'HLA-DMB', 'TGFA', 'CLDN4', 'PTK7', 'CD24', 'SEZ6L2', 'CD48', 'MUC1', 'SLC52A3']","['TMEM132A', 'ITGB4', 'RNF128', 'CDH1', 'LY75', 'EPCAM', 'ITGB6', 'SLC39A4', 'SIRPG', 'MET', 'PRSS8', 'GPR39', 'CADM1', 'ILDR1', 'TACSTD2', 'TSPAN1', 'HLA-DQB1', 'ZP3', 'CLDN3', 'EPHB2', 'CD14', 'HLA-DMB', 'TGFA', 'CLDN4', 'PTK7', 'CD24', 'SEZ6L2', 'CD48', 'MUC1', 'SLC52A3']",1.43e-16,2.94e-13,Intrinsic component of membrane,15.844663962534938
Keyword,KW-0732,25,3277,9606,"['TMEM132A', 'ITGB4', 'RNF128', 'CDH1', 'LY75', 'EPCAM', 'ITGB6', 'SLC39A4', 'SIRPG', 'MET', 'PRSS8', 'CADM1', 'ILDR1', 'TACSTD2', 'HLA-DQB1', 'ZP3', 'EPHB2', 'CD14', 'HLA-DMB', 'TGFA', 'PTK7', 'CD24', 'SEZ6L2', 'CD48', 'MUC1']","['TMEM132A', 'ITGB4', 'RNF128', 'CDH1', 'LY75', 'EPCAM', 'ITGB6', 'SLC39A4', 'SIRPG', 'MET', 'PRSS8', 'CADM1', 'ILDR1', 'TACSTD2', 'HLA-DQB1', 'ZP3', 'EPHB2', 'CD14', 'HLA-DMB', 'TGFA', 'PTK7', 'CD24', 'SEZ6L2', 'CD48', 'MUC1']",2.16e-15,1.45e-12,Signal,14.665546248849068
COMPARTMENTS,GOCC:0071944,26,3860,9606,"['ITGB4', 'CDH1', 'LY75', 'EPCAM', 'ITGB6', 'SLC39A4', 'MET', 'PRSS8', 'GPR39', 'CADM1', 'ILDR1', 'TACSTD2', 'TSPAN1', 'HLA-DQB1', 'ZP3', 'CLDN3', 'EPHB2', 'CD14', 'HLA-DMB', 'TGFA', 'CLDN4', 'PTK7', 'CD24', 'CD48', 'MUC1', 'SLC52A3']","['ITGB4', 'CDH1', 'LY75', 'EPCAM', 'ITGB6', 'SLC39A4', 'MET', 'PRSS8', 'GPR39', 'CADM1', 'ILDR1', 'TACSTD2', 'TSPAN1', 'HLA-DQB1', 'ZP3', 'CLDN3', 'EPHB2', 'CD14', 'HLA-DMB', 'TGFA', 'CLDN4', 'PTK7', 'CD24', 'CD48', 'MUC1', 'SLC52A3']",5.01e-15,1.15e-11,Cell periphery,14.300162274132754
Keyword,KW-0325,27,4386,9606,"['TMEM132A', 'ITGB4', 'RNF128', 'CDH1', 'LY75', 'EPCAM', 'ITGB6', 'SLC39A4', 'SIRPG', 'MET', 'PRSS8', 'GPR39', 'CADM1', 'TACSTD2', 'TSPAN1', 'HLA-DQB1', 'ZP3', 'EPHB2', 'CD14', 'HLA-DMB', 'TGFA', 'PTK7', 'CD24', 'SEZ6L2', 'CD48', 'MUC1', 'SLC52A3']","['TMEM132A', 'ITGB4', 'RNF128', 'CDH1', 'LY75', 'EPCAM', 'ITGB6', 'SLC39A4', 'SIRPG', 'MET', 'PRSS8', 'GPR39', 'CADM1', 'TACSTD2', 'TSPAN1', 'HLA-DQB1', 'ZP3', 'EPHB2', 'CD14', 'HLA-DMB', 'TGFA', 'PTK7', 'CD24', 'SEZ6L2', 'CD48', 'MUC1', 'SLC52A3']",5.09e-15,1.71e-12,Glycoprotein,14.293282217663242
COMPARTMENTS,GOCC:0005886,25,3535,9606,"['ITGB4', 'CDH1', 'LY75', 'EPCAM', 'ITGB6', 'SLC39A4', 'MET', 'PRSS8', 'GPR39', 'CADM1', 'ILDR1', 'TACSTD2', 'TSPAN1', 'HLA-DQB1', 'CLDN3', 'EPHB2', 'CD14', 'HLA-DMB', 'TGFA', 'CLDN4', 'PTK7', 'CD24', 'CD48', 'MUC1', 'SLC52A3']","['ITGB4', 'CDH1', 'LY75', 'EPCAM', 'ITGB6', 'SLC39A4', 'MET', 'PRSS8', 'GPR39', 'CADM1', 'ILDR1', 'TACSTD2', 'TSPAN1', 'HLA-DQB1', 'CLDN3', 'EPHB2', 'CD14', 'HLA-DMB', 'TGFA', 'CLDN4', 'PTK7', 'CD24', 'CD48', 'MUC1', 'SLC52A3']",1.32e-14,1.52e-11,Plasma membrane,13.87942606879415
Keyword,KW-0472,30,7068,9606,"['TMEM132A', 'ITGB4', 'RNF128', 'CDH1', 'LY75', 'EPCAM', 'ITGB6', 'SLC39A4', 'SIRPG', 'MET', 'PRSS8', 'GPR39', 'CADM1', 'ILDR1', 'TACSTD2', 'TSPAN1', 'HLA-DQB1', 'ZP3', 'CLDN3', 'EPHB2', 'CD14', 'HLA-DMB', 'TGFA', 'CLDN4', 'PTK7', 'CD24', 'SEZ6L2', 'CD48', 'MUC1', 'SLC52A3']","['TMEM132A', 'ITGB4', 'RNF128', 'CDH1', 'LY75', 'EPCAM', 'ITGB6', 'SLC39A4', 'SIRPG', 'MET', 'PRSS8', 'GPR39', 'CADM1', 'ILDR1', 'TACSTD2', 'TSPAN1', 'HLA-DQB1', 'ZP3', 'CLDN3', 'EPHB2', 'CD14', 'HLA-DMB', 'TGFA', 'CLDN4', 'PTK7', 'CD24', 'SEZ6L2', 'CD48', 'MUC1', 'SLC52A3']",4.61e-14,1.03e-11,Membrane,13.336299074610352
Keyword,KW-1015,24,3338,9606,"['ITGB4', 'CDH1', 'LY75', 'EPCAM', 'ITGB6', 'SIRPG', 'MET', 'PRSS8', 'GPR39', 'CADM1', 'ILDR1', 'TACSTD2', 'HLA-DQB1', 'ZP3', 'EPHB2', 'CD14', 'HLA-DMB', 'TGFA', 'CLDN4', 'PTK7', 'SEZ6L2', 'CD48', 'MUC1', 'SLC52A3']","['ITGB4', 'CDH1', 'LY75', 'EPCAM', 'ITGB6', 'SIRPG', 'MET', 'PRSS8', 'GPR39', 'CADM1', 'ILDR1', 'TACSTD2', 'HLA-DQB1', 'ZP3', 'EPHB2', 'CD14', 'HLA-DMB', 'TGFA', 'CLDN4', 'PTK7', 'SEZ6L2', 'CD48', 'MUC1', 'SLC52A3']",6.88e-14,1.16e-11,Disulfide bond,13.162411561764488
Component,GO:0005886,28,5544,9606,"['ITGB4', 'CDH1', 'LY75', 'EPCAM', 'ITGB6', 'SLC39A4', 'SIRPG', 'MET', 'PRSS8', 'GPR39', 'CADM1', 'ILDR1', 'TACSTD2', 'TSPAN1', 'HLA-DQB1', 'ZP3', 'CLDN3', 'EPHB2', 'CD14', 'HLA-DMB', 'TGFA', 'CLDN4', 'PTK7', 'CD24', 'SEZ6L2', 'CD48', 'MUC1', 'SLC52A3']","['ITGB4', 'CDH1', 'LY75', 'EPCAM', 'ITGB6', 'SLC39A4', 'SIRPG', 'MET', 'PRSS8', 'GPR39', 'CADM1', 'ILDR1', 'TACSTD2', 'TSPAN1', 'HLA-DQB1', 'ZP3', 'CLDN3', 'EPHB2', 'CD14', 'HLA-DMB', 'TGFA', 'CLDN4', 'PTK7', 'CD24', 'SEZ6L2', 'CD48', 'MUC1', 'SLC52A3']",9.28e-14,9.49e-11,Plasma membrane,13.032452023781138
Component,GO:0016021,28,5670,9606,"['TMEM132A', 'ITGB4', 'RNF128', 'CDH1', 'LY75', 'EPCAM', 'ITGB6', 'SLC39A4', 'SIRPG', 'MET', 'PRSS8', 'GPR39', 'CADM1', 'ILDR1', 'TACSTD2', 'TSPAN1', 'HLA-DQB1', 'ZP3', 'CLDN3', 'EPHB2', 'CD14', 'HLA-DMB', 'TGFA', 'CLDN4', 'PTK7', 'SEZ6L2', 'MUC1', 'SLC52A3']","['TMEM132A', 'ITGB4', 'RNF128', 'CDH1', 'LY75', 'EPCAM', 'ITGB6', 'SLC39A4', 'SIRPG', 'MET', 'PRSS8', 'GPR39', 'CADM1', 'ILDR1', 'TACSTD2', 'TSPAN1', 'HLA-DQB1', 'ZP3', 'CLDN3', 'EPHB2', 'CD14', 'HLA-DMB', 'TGFA', 'CLDN4', 'PTK7', 'SEZ6L2', 'MUC1', 'SLC52A3']",1.71e-13,1.17e-10,Integral component of membrane,12.767003889607846
Keyword,KW-0812,27,5067,9606,"['TMEM132A', 'ITGB4', 'RNF128', 'CDH1', 'LY75', 'EPCAM', 'ITGB6', 'SLC39A4', 'SIRPG', 'MET', 'PRSS8', 'GPR39', 'CADM1', 'ILDR1', 'TACSTD2', 'TSPAN1', 'HLA-DQB1', 'ZP3', 'CLDN3', 'EPHB2', 'HLA-DMB', 'TGFA', 'CLDN4', 'PTK7', 'SEZ6L2', 'MUC1', 'SLC52A3']","['TMEM132A', 'ITGB4', 'RNF128', 'CDH1', 'LY75', 'EPCAM', 'ITGB6', 'SLC39A4', 'SIRPG', 'MET', 'PRSS8', 'GPR39', 'CADM1', 'ILDR1', 'TACSTD2', 'TSPAN1', 'HLA-DQB1', 'ZP3', 'CLDN3', 'EPHB2', 'HLA-DMB', 'TGFA', 'CLDN4', 'PTK7', 'SEZ6L2', 'MUC1', 'SLC52A3']",2.18e-13,2.93e-11,Transmembrane,12.661543506395395
PMID,PMID:23284647,7,40,9606,"['ITGB4', 'CDH1', 'EPCAM', 'ITGB6', 'CLDN3', 'CLDN4', 'CD24']","['ITGB4', 'CDH1', 'EPCAM', 'ITGB6', 'CLDN3', 'CLDN4', 'CD24']",5.33e-13,2.74e-06,(2012) Grhl2 determines the epithelial phenotype of breast cancers and promotes tumor progression.,12.273272790973428
PMID,PMID:31234417,6,18,9606,"['ITGB4', 'CDH1', 'EPCAM', 'CLDN3', 'CLDN4', 'CD24']","['ITGB4', 'CDH1', 'EPCAM', 'CLDN3', 'CLDN4', 'CD24']",9.58e-13,2.74e-06,(2019) Interrogation of Phenotypic Plasticity between Epithelial and Mesenchymal States in Breast Cancer.,12.018634490921455
PMID,PMID:33500360,7,49,9606,"['ITGB4', 'CDH1', 'EPCAM', 'MET', 'CLDN3', 'CLDN4', 'CD24']","['ITGB4', 'CDH1', 'EPCAM', 'MET', 'CLDN3', 'CLDN4', 'CD24']",1.95e-12,3.34e-06,(2021) Functional Hierarchy and Cooperation of EMT Master Transcription Factors in Breast Cancer Metastasis.,11.709965388637482
Keyword,KW-1133,26,5040,9606,"['TMEM132A', 'ITGB4', 'RNF128', 'CDH1', 'LY75', 'EPCAM', 'ITGB6', 'SLC39A4', 'MET', 'PRSS8', 'GPR39', 'CADM1', 'ILDR1', 'TACSTD2', 'TSPAN1', 'HLA-DQB1', 'ZP3', 'CLDN3', 'EPHB2', 'HLA-DMB', 'TGFA', 'CLDN4', 'PTK7', 'SEZ6L2', 'MUC1', 'SLC52A3']","['TMEM132A', 'ITGB4', 'RNF128', 'CDH1', 'LY75', 'EPCAM', 'ITGB6', 'SLC39A4', 'MET', 'PRSS8', 'GPR39', 'CADM1', 'ILDR1', 'TACSTD2', 'TSPAN1', 'HLA-DQB1', 'ZP3', 'CLDN3', 'EPHB2', 'HLA-DMB', 'TGFA', 'CLDN4', 'PTK7', 'SEZ6L2', 'MUC1', 'SLC52A3']",3.76e-12,4.21e-10,Transmembrane helix,11.424812155072338
PMID,PMID:35371075,7,57,9606,"['ITGB4', 'CDH1', 'LY75', 'EPCAM', 'CLDN3', 'CLDN4', 'CD24']","['ITGB4', 'CDH1', 'LY75', 'EPCAM', 'CLDN3', 'CLDN4', 'CD24']",5.17e-12,6.65e-06,(2022) CD90 Marks a Mesenchymal Program in Human Thymic Epithelial Cells In Vitro and In Vivo.,11.286509456906057
PMID,PMID:30622978,7,59,9606,"['CDH1', 'EPCAM', 'SLC39A4', 'PRSS8', 'TACSTD2', 'CLDN3', 'CLDN4']","['CDH1', 'EPCAM', 'SLC39A4', 'PRSS8', 'TACSTD2', 'CLDN3', 'CLDN4']",6.47e-12,6.66e-06,(2018) Zinc in Keratinocytes and Langerhans Cells: Relevance to the Epidermal Homeostasis.,11.1890957193313
PMID,PMID:36378161,6,27,9606,"['CDH1', 'EPCAM', 'PRSS8', 'TACSTD2', 'CLDN3', 'CLDN4']","['CDH1', 'EPCAM', 'PRSS8', 'TACSTD2', 'CLDN3', 'CLDN4']",7.81e-12,6.7e-06,(2023) EpCAM proteolysis and release of complexed claudin-7 repair and maintain the tight junction barrier.,11.1073489661227
PMID,PMID:26053098,8,133,9606,"['ITGB4', 'CDH1', 'LY75', 'EPCAM', 'ITGB6', 'CLDN3', 'HLA-DMB', 'CLDN4']","['ITGB4', 'CDH1', 'LY75', 'EPCAM', 'ITGB6', 'CLDN3', 'HLA-DMB', 'CLDN4']",2.86e-11,2.1e-05,(2015) Identification and characterization of the gene expression profiles for protein coding and non-coding RNAs of pancreatic ductal adenocarcinomas.,10.543633966870956
PMID,PMID:33671478,6,37,9606,"['CDH1', 'EPCAM', 'TACSTD2', 'CLDN3', 'CD24', 'MUC1']","['CDH1', 'EPCAM', 'TACSTD2', 'CLDN3', 'CD24', 'MUC1']",4.26e-11,2.74e-05,(2021) The Claudin-Low Subtype of High-Grade Serous Ovarian Carcinoma Exhibits Stem Cell Features.,10.370590400897282
PMID,PMID:29282096,6,38,9606,"['ITGB4', 'EPCAM', 'TACSTD2', 'CLDN4', 'CD24', 'MUC1']","['ITGB4', 'EPCAM', 'TACSTD2', 'CLDN4', 'CD24', 'MUC1']",4.92e-11,2.81e-05,(2017) Exosomal proteins as potential markers of tumor diagnosis.,10.30803489723264
