gene,n_tissues_protein,high_tissues,medium_tissues,low_tissues,not_detected_tissues,has_high_in_normal,tissue_restricted_score
MUC1,45,22,10,18,69,True,0.09999999999999998
CDH1,45,44,23,5,74,True,0.09999999999999998
CD24,45,31,28,11,8,True,0.09999999999999998
SEZ6L2,45,10,15,22,86,True,0.09999999999999998
ILDR1,45,0,19,12,46,False,0.09999999999999998
ITGB4,45,1,13,33,65,True,0.09999999999999998
LY75,45,9,17,11,87,True,0.09999999999999998
CLDN4,44,25,17,10,77,True,0.12
MET,45,8,35,32,5,True,0.09999999999999998
HLA-DMB,45,1,12,0,91,True,0.09999999999999998
EPCAM,45,24,5,11,96,True,0.09999999999999998
CD48,45,0,3,4,72,False,0.09999999999999998
TMEM132A,45,7,11,21,94,True,0.09999999999999998
TGFA,44,0,48,16,12,False,0.12
ITGB6,45,1,10,16,53,True,0.09999999999999998
RNF128,45,12,36,18,14,True,0.09999999999999998
EPHB2,45,7,63,9,0,True,0.09999999999999998
SLC39A4,0,0,0,0,0,False,1.0
ZP3,45,1,0,2,77,True,0.09999999999999998
CADM1,45,12,12,5,100,True,0.09999999999999998
SIRPG,0,0,0,0,0,False,1.0
GPR39,44,1,1,19,58,True,0.12
SLC52A3,45,4,16,19,48,True,0.09999999999999998
CD14,45,8,13,8,119,True,0.09999999999999998
TSPAN1,44,12,8,14,52,True,0.12
HLA-DQB1,45,19,19,19,71,True,0.09999999999999998
SLC9A7,44,2,29,24,33,True,0.12
FLRT3,45,8,26,29,48,True,0.09999999999999998
PODXL2,45,4,61,8,8,True,0.09999999999999998
PRSS8,45,2,8,9,60,True,0.09999999999999998
ANO9,45,0,4,36,39,False,0.09999999999999998
RTN4R,0,0,0,0,0,False,1.0
PTK7,45,1,25,23,34,True,0.09999999999999998
CLDN3,45,39,7,2,57,True,0.09999999999999998
TACSTD2,45,7,8,13,71,True,0.09999999999999998
CDH3,45,8,15,9,75,True,0.09999999999999998
F2R,45,1,10,10,58,True,0.09999999999999998
CDCP1,44,5,31,17,48,True,0.12
SLC2A1,45,4,4,6,118,True,0.09999999999999998
GPR160,43,19,15,22,35,True,0.14
SLAMF8,45,0,4,2,75,False,0.09999999999999998
DSG2,45,35,17,18,64,True,0.09999999999999998
TSPAN33,45,3,26,24,46,True,0.09999999999999998
GJB2,45,18,11,6,46,True,0.09999999999999998
CYBB,45,2,3,5,102,True,0.09999999999999998
SLC39A6,45,5,21,28,36,True,0.09999999999999998
MPEG1,45,0,54,17,7,False,0.09999999999999998
HLA-DPB1,45,14,21,17,41,True,0.09999999999999998
EFNA1,43,0,0,0,78,False,0.14
EPHB3,45,1,29,26,20,True,0.09999999999999998
