stringId_A,stringId_B,preferredName_A,preferredName_B,ncbiTaxonId,score,nscore,fscore,pscore,ascore,escore,dscore,tscore
9606.ENSP00000200181,9606.ENSP00000317272,ITGB4,MET,9606,0.423,0,0.0,0.0,0.143,0.091,0.0,0.319
9606.ENSP00000200181,9606.ENSP00000329797,ITGB4,CADM1,9606,0.556,0,0.0,0.0,0.0,0.211,0.0,0.461
9606.ENSP00000200181,9606.ENSP00000261769,ITGB4,CDH1,9606,0.569,0,0.0,0.0,0.137,0.062,0.0,0.51
9606.ENSP00000200181,9606.ENSP00000263735,ITGB4,EPCAM,9606,0.656,0,0.0,0.0,0.083,0.0,0.0,0.641
9606.ENSP00000200181,9606.ENSP00000283249,ITGB4,ITGB6,9606,0.848,0,0.0,0.0,0.122,0.0,0.72,0.435
9606.ENSP00000261769,9606.ENSP00000329797,CDH1,CADM1,9606,0.406,0,0.0,0.0,0.047,0.045,0.0,0.4
9606.ENSP00000261769,9606.ENSP00000484431,CDH1,CD48,9606,0.408,0,0.0,0.0,0.0,0.0,0.0,0.409
9606.ENSP00000261769,9606.ENSP00000418754,CDH1,PTK7,9606,0.458,0,0.0,0.0,0.048,0.067,0.0,0.439
9606.ENSP00000261769,9606.ENSP00000360269,CDH1,TACSTD2,9606,0.5,0,0.0,0.0,0.241,0.0,0.0,0.368
9606.ENSP00000261769,9606.ENSP00000404131,CDH1,TGFA,9606,0.513,0,0.0,0.0,0.054,0.0,0.0,0.507
9606.ENSP00000261769,9606.ENSP00000319730,CDH1,PRSS8,9606,0.537,0,0.0,0.0,0.393,0.0,0.0,0.27
9606.ENSP00000261769,9606.ENSP00000283249,CDH1,ITGB6,9606,0.6,0,0.0,0.0,0.12,0.062,0.0,0.555
9606.ENSP00000261769,9606.ENSP00000383053,CDH1,EPHB2,9606,0.625,0,0.0,0.0,0.0,0.067,0.0,0.615
9606.ENSP00000261769,9606.ENSP00000484824,CDH1,MUC1,9606,0.679,0,0.0,0.0,0.099,0.046,0.0,0.657
9606.ENSP00000261769,9606.ENSP00000378577,CDH1,CLDN3,9606,0.706,0,0.0,0.0,0.239,0.0,0.0,0.629
