gene,total_mutations,n_cohorts_mutated,n_cohorts_queried,max_per_cohort,mutation_frequency
ITGB4,32,32,37,1,0.9
SEZ6L2,30,30,37,1,0.8
EPHB2,30,30,37,1,0.8
RNF128,30,30,37,1,0.8
TMEM132A,30,30,37,1,0.8
MET,29,29,37,1,0.8
LY75,29,29,37,1,0.8
CDH1,27,27,37,1,0.7
ITGB6,27,27,37,1,0.7
SLC39A4,25,25,37,1,0.7
CADM1,25,25,37,1,0.7
ILDR1,25,25,37,1,0.7
ZP3,22,22,37,1,0.6
HLA-DMB,21,21,37,1,0.6
CLDN4,19,19,37,1,0.5
CD48,19,19,37,1,0.5
EPCAM,17,17,37,1,0.5
MUC1,17,17,37,1,0.5
TGFA,11,11,37,1,0.3
CD24,0,0,37,0,0.0
