gene,AML,Adrenocortical,Bladder,Breast,Cervical,Cholangiocarcinoma,Colorectal,DLBCL,Esophageal,Glioblastoma,Head&Neck,Kidney Chromophobe,Kidney Clear Cell,Kidney Papillary,Liver,Low Grade Glioma,Lung Adeno,Lung Squamous,Melanoma,Mesothelioma,Ovarian,Pancreatic,Pheochromocytoma,Prostate,Sarcoma,Stomach,Testicular,Thymoma,Thyroid,Uterine,Uterine Carcinosarcoma,Uveal Melanoma
ILDR1,0.0417,-0.0973,0.0226,0.6875,1.4387,1.6081,1.0221,0.1858,1.6031,0.0,0.4065,0.5763,-0.0498,0.3473,0.0833,0.0,0.5563,0.4609,-0.0147,-0.0534,1.793,0.3996,-0.0,0.6217,0.0109,1.4496,-0.0273,0.1368,0.3921,1.8136,0.551,-0.0
CLDN3,0.0112,0.3009,0.2224,0.3379,0.7128,0.5273,0.7065,0.0101,1.0917,-0.0008,-0.0133,-0.3052,-0.0519,0.6567,0.1221,-0.0036,0.6346,-0.1831,-0.0912,0.0029,1.752,-0.1072,0.0,0.5519,0.0327,1.5686,0.2289,0.1853,0.1293,2.0858,1.3674,-0.0345
PRSS8,-0.0094,-0.0363,0.5187,0.5491,1.4451,0.6031,0.6088,-0.0157,1.3332,-0.0,0.6384,0.1917,-0.1772,0.0938,-0.1864,-0.0016,0.2633,-0.0245,-0.2712,-0.263,1.1933,0.2692,-0.0114,0.4288,-0.0015,0.034,0.9175,0.5223,0.1289,1.7214,1.1601,-0.0469
CLDN4,-0.0,0.0967,0.3197,0.3163,1.2938,1.4061,0.7984,-0.013,1.3114,0.0068,1.12,0.188,-0.0393,0.411,0.2327,-0.0068,0.3764,0.1913,-0.4405,-0.0617,1.1596,0.5038,-0.0074,0.3646,0.2088,1.1658,0.49,0.0443,0.2755,1.3838,1.0005,-0.0659
CDH1,0.1742,-0.0105,0.3333,0.4712,1.3295,0.6168,0.7917,-0.0219,1.5472,0.101,0.8095,0.5164,0.14,0.088,0.1856,0.1336,0.4287,0.4263,-0.1386,0.4559,0.8065,0.3218,-0.01,0.353,0.088,0.3161,1.0154,0.5677,0.2205,1.3844,1.0094,0.7192
EPCAM,-0.1624,-0.0507,0.4421,0.6705,1.3237,1.4449,0.7534,0.0386,1.3744,-0.0653,0.3465,0.1238,-0.2506,0.027,-0.0068,-0.1119,0.5411,0.3294,-0.1104,-0.2343,1.1723,0.4672,0.0048,0.5814,0.0439,0.554,0.5113,0.1372,0.1931,1.7471,1.3707,-0.1297
SDC1,0.13,0.2998,0.2707,0.6554,1.0421,0.0232,0.6633,-0.0331,1.2414,0.6621,1.1244,-0.2253,-0.0097,0.1327,0.0751,0.1691,0.3797,0.535,-0.7716,0.2793,0.4524,0.8322,-0.3292,-0.0679,1.2806,0.453,0.32,0.354,0.3945,1.0776,1.0362,-0.0287
CD24,-0.5276,-0.0677,0.4694,0.5399,0.5926,1.0222,0.8615,0.1347,0.9882,0.5337,0.6539,0.0574,0.3351,0.442,0.4949,0.751,0.5477,0.5601,-0.4807,-0.3437,1.1592,-0.0069,1.5171,0.3219,0.5895,0.2951,0.7526,-0.3952,0.0476,1.1585,0.8674,-0.114
CRB3,0.0,-0.0014,0.2811,0.4671,1.1807,0.4059,0.6029,0.1679,0.7355,-0.0,0.7068,0.2185,0.0562,0.1497,0.0868,-0.0005,0.1511,0.0229,-0.1453,0.1857,0.906,0.1803,-0.002,0.2944,0.0091,0.1585,0.6292,0.0932,0.1645,1.2086,0.6537,-0.0299
TACSTD2,-0.031,-0.0232,0.3444,0.1774,1.3798,0.8465,0.4388,-0.0106,1.1132,0.0065,1.2581,-0.435,-0.538,0.1518,-0.0617,-0.0077,0.2327,0.3162,-0.5093,-0.1248,0.8919,0.4819,0.0212,0.3094,0.1067,0.6611,0.2036,0.1771,0.9571,1.0828,0.4387,-0.0
CLDN7,-0.1022,-0.254,0.2466,0.3158,1.1812,0.6508,0.4336,-0.0266,0.7846,0.332,0.5145,0.0828,-0.2072,0.2077,0.2154,0.0836,0.1829,0.032,-0.2718,-0.1183,0.8336,0.2992,-0.1676,0.2302,0.1562,1.0565,0.6054,0.1441,0.2067,1.0962,0.6205,-0.2622
RAET1L,0.0,0.0307,0.3438,0.1431,1.7664,0.3114,2.7974,0.0,2.6252,0.0312,6.656,-0.0328,-0.0014,0.1597,0.0,0.0,0.2512,5.4341,-0.2589,0.1496,0.0917,1.6401,0.0,0.0016,0.0,1.3935,-0.0793,0.0,0.092,0.9644,0.2225,0.0
CDH3,0.0051,-0.0042,0.5986,0.1613,0.5429,0.442,1.3429,0.0064,1.2745,-0.0272,1.3466,-0.1662,-0.1493,-0.1682,0.0067,0.0434,0.7156,0.9788,0.0623,0.8507,-0.123,1.3152,-0.0023,-0.0329,0.6434,0.7894,0.7799,0.988,0.9003,0.2249,0.2175,0.0618
IGSF9,0.0107,-0.0133,0.3397,0.4424,1.0955,-0.1085,0.3145,-0.0292,1.3203,0.1169,0.7486,0.0406,-0.0135,-0.0171,-0.3141,0.0265,0.6518,1.0086,-0.1398,0.811,0.8243,0.515,-0.0073,-0.0852,0.1867,0.0594,-0.344,0.6018,0.0915,0.7723,0.7811,-0.023
