gene,rank,final_score,tsi_norm,pocket_norm,ldt_norm,ldt_score,n_pockets,n_nucleophiles,top_res_type,uniprot_id,tumor_median_log2,tumor_positive_rate,depmap_score,depmap_label,mean_plddt,plddt_below_70,plddt_below_50,enhanced_score,enhanced_rank,composite_primary,rank_primary,pu_score_v2,pu_score_v2_rank,maxITSI,best_cancer_ind,FC_best,P_tumor_best,pu_score_v3,pu_score_fused,pu_rank_fused,known_target
ABCC5,2,0.5745035107311252,0.2100840334369042,0.7843808318835995,0.8505188259709457,0.014344,60,54,LYS,O15440,3.64,0.998,0.0734512172488873,Non-essential,78.0,19.5,14.1,0.5777543261665528,1,0.6019733677607328,1,0.7054362185517994,212,0.3672,Lung Squamous,2.077,1.0,0.4585130457658209,0.7783171521035599,549,0
MUC1,1,0.6306663642233262,0.4705882348986654,1.0,0.4747702342128668,0.008007,18,80,LYS,P15941,6.323,0.952,-0.1345589620294953,Non-essential,47.4,89.5,71.0,0.5588984407677495,2,0.5938984407677496,2,0.8706388096391147,24,1.1303,Cholangiocarcinoma,6.394,1.0,0.8805215926128023,0.9939320388349514,16,1
ILDR1,3,0.5422744550741839,0.999999999159664,0.0351731772892614,0.4390750074117995,0.007405,9,9,LYS,Q86SU0,2.183,0.742,0.0044900349168342,Non-essential,59.0,66.1,52.6,0.5174620458811476,3,0.5042207047456106,3,0.7154959412453158,195,1.8136,Uterine,8.12,0.921,0.5852176453267658,0.8580097087378641,352,0
CDH1,5,0.4627036659187187,0.8739495790975214,0.0122410248299857,0.3648384227690482,0.006153,23,5,LYS,P12830,6.32,0.912,-0.0778074377143686,Non-essential,79.2,24.6,16.2,0.490552214583891,4,0.4761642658253902,5,0.8747145720050061,20,1.5472,Esophageal,8.233,0.994,0.9574618346694664,0.9979773462783171,6,0
LY75,6,0.4610591282813983,0.3781512601864275,0.4270884074015499,0.6055736732878743,0.010213,93,66,LYS,O60449,2.115,0.796,0.0185996419073567,Non-essential,75.6,27.0,10.1,0.4785184612376056,5,0.4848728816076831,4,0.7664688857867081,112,1.3411,AML,7.467,1.0,0.6130669238028823,0.892799352750809,266,0
RHBDF2,4,0.4800755145176409,0.3277310921615705,0.1632769255100427,1.0,0.016865,24,20,LYS,Q6PJF5,4.288,0.998,-0.1918824563007465,Non-essential,67.4,43.5,34.9,0.4770251136340603,6,0.4701889599095624,7,0.5651510410603804,583,0.6223,Cholangiocarcinoma,3.52,1.0,0.7902787482225345,0.8713592233009708,319,0
ABCC4,7,0.4308771643021899,0.352941176173999,0.4492740787600822,0.5163949006818855,0.008709,71,43,LYS,O15439,2.022,0.877,0.1296438570640414,Non-essential,83.0,11.8,7.9,0.4681466565213916,7,0.4756103604593957,6,0.6454698642096045,351,0.8139,Cholangiocarcinoma,4.604,1.0,0.4789082788799151,0.7637540453074434,585,0
CLDN4,8,0.4155559482246479,0.8823529404349976,0.0055733038114818,0.2031426030240142,0.003426,5,3,LYS,O14493,7.182,0.847,0.0492802975086306,Non-essential,84.6,15.8,5.3,0.4602025058611231,8,0.4454811710516972,8,0.8445752090644691,35,1.4061,Cholangiocarcinoma,7.702,1.0,0.7768370695120512,0.973705501618123,66,0
EPCAM,11,0.4016498209774488,0.8067226883977121,0.0227044124624387,0.2404980729321078,0.004056,7,9,LYS,P16422,7.198,0.882,-0.134530407386485,Non-essential,87.2,13.4,3.5,0.4497535622878358,9,0.4358887829109578,11,0.8750727176736638,18,1.7471,Uterine,9.728,1.0,0.894904965177504,0.9963592233009708,10,0
SLC29A3,10,0.4117337107322673,0.352941176173999,0.1889609362644314,0.7128965312777942,0.012023,17,17,LYS,Q9BZD2,2.74,0.988,-0.0327084810632418,Non-essential,82.3,18.7,16.0,0.445293778546456,10,0.4397418253596776,9,0.4963501291288208,837,0.6196,Sarcoma,3.533,0.992,0.5263131136252166,0.6909385113268609,765,0
CLDN3,14,0.3903467979925806,0.9663865538097594,0.0064146765775739,0.0062259116513489,0.000105,3,3,SER,O15551,4.814,0.763,0.1019276301488046,Non-essential,81.5,22.3,8.6,0.4340954408906465,11,0.4194161747195252,15,0.9375109914511924,1,2.0858,Uterine,10.276,0.994,0.9126072786739204,0.9995954692556634,2,0
CACHD1,12,0.3993851246817579,0.201680672099428,0.5021034319152301,0.5602727542247258,0.009449,68,60,LYS,Q5VU97,1.47,0.795,-0.028652386156779,Non-essential,77.6,24.3,17.3,0.4268822817697887,12,0.4369874533655502,10,0.4918995121331215,864,0.3443,AML,4.87,0.387,0.5141143859481185,0.6751618122977346,804,0
UNC93A,17,0.3803528172695158,0.50420168024857,0.0888439032105013,0.5067299140231247,0.008546,22,11,LYS,Q86WB7,-4.293,0.182,0.0701394581118148,Non-essential,85.1,13.6,8.1,0.426764042395406,13,0.4162062375559311,16,0.6440128168530008,357,2.0237,Stomach,9.938,0.499,0.6910910886382602,0.8830906148867314,290,0
RAET1L,13,0.3934477037626713,0.6470588229856649,0.0042764510517159,0.4444707975096353,0.007496,9,4,LYS,Q5VY80,-3.047,0.245,-0.0632837516645214,Non-essential,82.1,29.7,11.8,0.4239574001853205,14,0.4091712227379063,19,0.8089683339807027,64,6.656,Head&Neck,13.824,0.963,0.4723273144845319,0.8191747572815534,448,0
ABCA12,9,0.4148063726117319,0.4873949575736176,0.3446275502135062,0.3882004150607767,0.006547,162,46,LYS,Q86UK0,-2.727,0.284,0.0147802767617644,Non-essential,68.1,45.2,17.7,0.4235952264693369,15,0.4258266039800122,12,0.8140619132411957,58,3.2902,Head&Neck,8.481,0.867,0.62495039341104,0.9089805825242718,226,0
ANO6,16,0.3805894701571873,0.2773109241367135,0.2599272497232326,0.6389564186184405,0.010776,51,24,LYS,Q4KMQ2,4.004,0.997,0.0050840549799989,Non-essential,81.6,15.3,6.6,0.421479740533268,16,0.4194761030194296,14,0.5594395161878275,596,0.5226,Glioblastoma,2.956,1.0,0.3995835977235188,0.6561488673139159,851,0
PRSS8,24,0.369818031611395,0.9159663857849024,0.0107860192946386,0.0006522383634746,1.1e-05,17,3,SER,Q16651,6.189,0.829,-0.0126334125130299,Non-essential,83.7,22.2,16.6,0.4162477994392441,17,0.401787100403976,24,0.8069490281121063,66,1.7214,Uterine,9.376,0.989,0.8465939966628968,0.9809870550161812,48,0
ATP13A3,19,0.3801884444160341,0.3109243694866181,0.3657441088091096,0.4869848799288466,0.008213,64,47,LYS,Q9H7F0,4.863,0.999,-0.0126439169984465,Non-essential,77.7,20.8,11.5,0.4162057765048054,18,0.4194929819452608,13,0.7443542083224929,146,0.3815,Esophageal,2.158,1.0,0.6365309389845425,0.9008899676375405,246,0
TSPAN1,26,0.3639910480148252,0.5882352936233318,0.0052127154831567,0.4237770530684849,0.007147,5,5,LYS,O60635,5.348,0.881,-0.0753725143693718,Non-essential,88.2,12.4,4.6,0.4157297949060765,19,0.4009904306802344,25,0.7995609528269114,74,1.2363,Pancreatic,6.922,0.994,0.8272277937882127,0.9765372168284789,59,0
MMEL1,27,0.3637289809212417,0.3277310921615705,0.2721050134429859,0.5033501334123924,0.008489,33,22,LYS,Q495T6,1.177,0.643,-0.0838671325343793,Non-essential,90.0,8.3,7.6,0.4152696689703942,20,0.4138749196425435,18,0.4679690774884431,951,0.6321,Pancreatic,3.605,0.96,0.4788890837748319,0.6298543689320388,916,0
CDCP1,22,0.3738348564666564,0.5714285709483794,0.0397406294480468,0.4444707975096353,0.007496,39,8,LYS,Q9H5V8,3.321,0.833,-0.0113930840770698,Non-essential,77.6,26.2,19.3,0.4098528565713533,21,0.3968398880437557,26,0.623293048920429,420,1.1167,Cholangiocarcinoma,6.185,0.972,0.5586204890403415,0.7997572815533981,496,0
ABCB11,29,0.3624807463391813,0.252100840124285,0.2486541198798038,0.6234805810850874,0.010515,73,23,LYS,O95342,-6.506,0.031,-0.0271240172479132,Non-essential,83.1,12.3,8.8,0.4089689692847226,22,0.4064016752787127,21,0.2961742118697831,1710,0.0143,Pancreatic,5.672,0.006,0.0576559230111291,0.2107605177993528,1952,0
ATP2B4,18,0.380244062531155,0.2268907561118565,0.457339870314724,0.5076193299733174,0.008561,53,27,LYS,P23634,4.777,0.999,-0.2054926707908701,Non-essential,72.7,27.8,21.3,0.4078515647111601,23,0.4157185582268963,17,0.7467313375281435,137,0.5386,Sarcoma,3.047,1.0,0.81785040450711,0.9627831715210355,93,0
CDH3,23,0.3725298964587701,0.6470588229856649,0.0162581053297485,0.3627631188852653,0.006118,19,2,LYS,P22223,4.475,0.827,0.0028607095450393,Non-essential,76.7,29.6,22.0,0.4066258940987362,24,0.3924387993652236,28,0.8408431587449803,38,1.3466,Head&Neck,6.997,1.0,0.8491366535831693,0.9866504854368932,34,0
SLC52A3,28,0.3634573019648616,0.4369747895487607,0.1486066740471295,0.4802846131040616,0.0081,12,14,LYS,Q9NQ40,2.151,0.753,0.1008092491024636,Non-essential,80.4,22.0,15.8,0.403163998129864,25,0.3955943318322205,27,0.8288529642916,46,1.2683,Cholangiocarcinoma,7.55,0.889,0.8678386887953013,0.9890776699029126,28,0
TACSTD2,30,0.3612506521015708,0.7226890750229503,0.0143159892456112,0.2262674177290246,0.003816,9,5,LYS,P09758,6.489,0.813,-0.0935735827287819,Non-essential,82.7,25.1,8.7,0.4029870280016915,26,0.3887028274639721,32,0.8766328131091434,17,1.3798,Cervical,7.682,1.0,0.9130383467625308,0.997168284789644,8,1
ABCA1,20,0.3788518232958155,0.252100840124285,0.4106658231851969,0.5160391343018085,0.008703,135,40,LYS,O95477,2.299,0.951,0.0108311025773815,Non-essential,73.2,33.0,8.7,0.4019115334152511,27,0.4074448245745109,20,0.5691906603833607,565,0.7581,AML,4.804,0.879,0.4634819059741545,0.7063106796116505,727,0
ABCA3,34,0.3555719054447123,0.2941176468116659,0.3623090305234857,0.4307737918766676,0.007265,81,33,LYS,Q99758,3.175,0.863,0.0086796291662919,Non-essential,80.8,14.6,5.0,0.4016118819841214,28,0.4047273335102956,22,0.7743627555804973,100,0.634,Cholangiocarcinoma,3.689,0.972,0.7757390303902449,0.9611650485436893,97,0
NETO1,15,0.387182366254034,0.252100840124285,0.0057630871421793,0.9487103468722206,0.016,14,4,LYS,Q8TDF5,-3.047,0.175,0.0773510524669213,Non-essential,71.7,40.7,37.1,0.4011536525470998,29,0.3864418069042087,33,0.2339465780720551,1898,0.3673,Lung Squamous,4.518,0.293,0.4524033354424358,0.4073624595469255,1466,0
SLCO4C1,25,0.3654881359548231,0.3109243694866181,0.3469239285149454,0.4568040320189742,0.007704,22,49,LYS,Q6ZQN7,-3.047,0.247,-0.0061806002177224,Non-essential,78.6,24.4,16.2,0.4003555194537962,30,0.4027017158795435,23,0.6385991559363265,372,0.7329,Kidney Papillary,2.613,0.972,0.7386011607233862,0.9016990291262136,244,0
PTK7,41,0.3493021151691047,0.4957983189110939,0.109739047920291,0.3935369107619329,0.006637,42,6,LYS,Q13308,5.455,0.984,-0.0599612825873093,Non-essential,82.7,14.2,9.4,0.4001484012894388,31,0.3906353536854534,29,0.8332745858429466,44,1.3233,Sarcoma,7.546,0.992,0.7349495793751886,0.9583333333333334,104,0
GJB1,32,0.3579473483403046,0.5378151255984748,0.0083567926617112,0.4677142010080046,0.007888,18,3,LYS,P08034,1.331,0.562,0.0755525561283461,Non-essential,80.2,22.3,10.2,0.3999530423768951,32,0.3853708820099806,34,0.8591020431490104,27,1.68,Melanoma,7.449,0.957,0.8822753630645649,0.9935275080906149,17,0
MET,33,0.3576284408978785,0.4369747895487607,0.1306594970741736,0.4788022531870738,0.008075,66,23,LYS,P08581,3.673,0.884,-0.0124543468205462,Non-essential,79.2,21.4,13.9,0.3989066139073781,33,0.3904395887610867,31,0.6639115181366746,309,0.729,Kidney Papillary,4.059,1.0,0.7376209435342106,0.9118122977346278,219,1
SLC2A1,92,0.3156896699391135,0.3949579828613799,0.087028309346829,0.4386599466350429,0.007398,24,7,LYS,P11166,6.279,0.992,-0.4051544621694808,Context-dependent,90.3,6.1,4.9,0.3985573579969509,34,0.3679087734642924,54,0.7809898224348256,96,0.9824,Pancreatic,5.557,1.0,0.8761003258265144,0.9805825242718447,49,0
CCR8,43,0.3450610082733876,0.6134453776357603,0.0576245453107702,0.2746516454195078,0.004632,10,14,LYS,P51685,-2.548,0.137,-0.0133776670090486,Non-essential,82.1,18.3,14.4,0.3944749298550856,35,0.3823561571206241,35,0.6720333863552083,286,3.2485,Head&Neck,9.207,0.353,0.5882348687465612,0.843042071197411,389,0
SLITRK4,21,0.3763819777991422,0.2352941174493327,0.2653993357583425,0.675481766973021,0.011392,19,32,LYS,Q8IW52,-1.831,0.278,0.0629940287228361,Non-essential,68.1,40.3,35.0,0.3922732167901073,36,0.3905431835780244,30,0.587693712233486,519,1.3051,AML,9.21,0.723,0.5100405072794049,0.7491909385113269,621,0
CNTNAP2,45,0.3410316205252715,0.4201680668738084,0.1204554799936738,0.45609249925882,0.007692,57,17,LYS,Q9UHC6,-0.512,0.46,0.0144102007103527,Non-essential,83.4,16.1,11.0,0.3900958182189563,37,0.3811185922186401,36,0.6944918863316887,239,2.0066,Thymoma,6.951,1.0,0.6544217949121106,0.8919902912621359,268,0
MPEG1,44,0.3449259409983737,0.3697478988489514,0.0442448204965997,0.6125111176993774,0.01033,40,8,LYS,Q2M385,2.418,0.924,-0.1512737823942658,Non-essential,82.7,19.0,10.2,0.3896007491461272,38,0.3768129901709572,38,0.6975142641796899,230,1.0537,AML,6.151,0.954,0.7877037688583161,0.9401294498381877,149,0
GPR160,36,0.3526820897506701,0.5378151255984748,0.0132785070377985,0.445241624666469,0.007509,27,3,LYS,Q9UJ42,3.492,0.912,0.0335262326763529,Non-essential,76.5,29.3,17.8,0.388565326885533,39,0.374229252237423,42,0.5457158861509668,644,0.7693,Uterine,4.452,0.977,0.4588455364205611,0.6856796116504854,778,0
CNTNAP5,49,0.3336654434607574,0.2605042014617612,0.107600822394433,0.6572783871924103,0.011085,65,16,LYS,Q8WYK1,-9.966,0.051,0.0192016917964126,Non-essential,84.0,13.5,9.3,0.3838962729083273,40,0.3742763140280489,41,0.3998926153986658,1268,3.9484,Kidney Chromophobe,6.721,0.831,0.1741783667337224,0.3588187702265372,1586,0
GJB2,64,0.325231179909707,0.6134453776357603,0.0084833148821761,0.2576934479691669,0.004346,12,4,LYS,P29033,3.354,0.842,-0.0494587003907636,Non-essential,86.2,12.8,2.7,0.3834500728853519,41,0.3688742386294606,50,0.8504583641051245,31,1.7248,Head&Neck,9.144,0.998,0.8521828369643836,0.9890776699029126,28,0
HLA-DPB1,51,0.3320077338773571,0.4117647055363322,0.0088439032105013,0.5488289356655796,0.009256,2,4,LYS,P04440,7.152,1.0,0.0426114636519852,Non-essential,87.4,15.5,1.9,0.3830358566567365,42,0.3684780518172615,53,0.7153281845122592,196,0.7855,Sarcoma,4.444,1.0,0.7501631165030495,0.9372977346278317,156,0
CYBB,81,0.3187846977659736,0.403361344198856,0.1020907796931836,0.4227097539282537,0.007129,31,11,LYS,P04839,3.032,0.935,0.0887897364578418,Non-essential,90.2,4.6,0.5,0.3827766038749589,43,0.3728811428596181,44,0.5382561796051741,671,0.7486,Testicular,4.293,0.986,0.6728457662069617,0.8110841423948221,468,0
