gene,mean_plddt,plddt_below_70,plddt_below_50
CLDN4,84.6,15.8,5.3
PRSS8,83.7,22.2,16.6
CDH1,79.2,24.6,16.2
ILDR1,59.0,66.1,52.6
CLDN3,81.5,22.3,8.6
SDC1,55.2,82.9,48.4
CD24,63.7,53.8,33.8
EPCAM,87.2,13.4,3.5
CRB3,69.4,54.2,17.5
TACSTD2,82.7,25.1,8.7
CLDN7,82.6,19.9,10.9
SERINC2,78.5,27.9,13.0
TREM2,76.8,38.7,21.7
CDH3,76.7,29.6,22.0
SEZ6L2,71.9,33.0,24.5
GJB2,86.2,12.8,2.7
TSPAN1,88.2,12.4,4.6
DSG2,64.5,48.7,45.0
SPINT2,81.1,29.8,6.7
CLDN1,84.7,19.0,3.3
IGSF9,66.2,45.0,39.3
LAMP3,67.7,53.6,41.8
CDCP1,77.6,26.2,19.3
F2RL1,82.1,20.9,13.1
GPR160,76.5,29.3,17.8
SLC44A4,83.5,16.3,4.9
CXADR,79.3,31.8,18.1
SCNN1A,74.6,32.3,23.9
PTK7,82.7,14.2,9.4
FCGR1A,85.1,19.8,9.1
HLA-DQA1,87.9,14.2,2.0
SLC12A8,69.1,41.6,28.2
FCGR3A,85.7,22.0,7.5
CD3D,77.7,38.0,3.5
CD52,67.2,49.2,3.3
MUC1,47.4,89.5,71.0
CD2,77.7,37.9,17.9
SLAMF7,78.2,30.4,17.3
TMEM132A,72.7,37.0,24.0
DSC2,76.8,29.9,19.6
CD48,82.8,23.0,13.6
GPRC5A,77.9,31.1,14.6
OLR1,87.4,13.6,11.7
IL2RG,75.5,38.8,23.8
IGSF3,81.5,14.6,8.0
HLA-DQB2,86.3,18.7,1.9
FPR3,83.4,17.3,11.3
TNFRSF21,68.0,44.9,40.2
ZP3,77.7,29.5,18.9
CEACAM6,88.2,16.3,12.2
EFNA4,82.7,21.4,11.4
F11R,87.2,17.4,8.7
ERBB3,72.5,34.1,29.7
EFNA3,73.2,43.3,22.3
NETO2,72.1,39.8,29.9
HLA-DRA,89.2,14.6,1.6
HLA-H,87.8,16.3,11.3
PODXL2,54.4,75.4,57.7
HLA-DQA2,88.7,12.5,1.6
TMEM184A,72.2,33.4,20.6
GJB1,80.2,22.3,10.2
HLA-DRB5,86.8,18.4,4.9
CXCR3,80.5,22.8,12.8
PROM2,85.8,10.7,5.6
RNF43,55.5,69.9,59.6
SLC6A14,89.5,8.1,6.2
GPR39,76.1,32.9,22.1
VTCN1,88.5,11.7,7.8
HLA-DQB1,86.9,17.2,3.4
ITGB6,82.9,15.6,5.2
HLA-DMB,89.2,15.2,2.3
FOLR1,91.2,7.4,0.0
SLC39A4,74.9,29.2,19.6
CD74,69.9,45.9,27.0
IGSF6,79.6,31.1,11.2
CD27,71.7,48.5,28.8
MET,79.2,21.4,13.9
DDR1,76.2,29.6,25.2
CXCR4,82.3,21.0,12.8
CXCL16,64.6,56.7,36.6
CD68,73.2,44.9,28.2
LYPD6B,80.1,32.2,7.7
BST2,85.3,23.9,7.2
ITGB2,85.8,10.1,4.2
HLA-DPA1,90.1,9.2,1.9
EPHB3,82.1,17.3,12.3
LYPD1,76.0,41.1,7.1
CD86,80.1,31.0,17.6
PIGR,76.7,28.0,20.9
