gene,uniprot_id,n_pockets,max_pocket_volume,n_nucleophiles,ldt_score,top_res_type,tsi_norm,tsi,pocket_norm,ldt_norm,final_score,rank,plddt_below_70,plddt_term,composite_primary,rank_primary
ABCC5,O15440,60,12399.1,54,0.014344,LYS,0.2100840334369042,-0.006,0.7843808318835995,0.8505188259709457,0.5745035107311252,2,19.5,0.8049999999999999,0.6019733677607328,1
MUC1,P15941,18,15807.5,80,0.008007,LYS,0.4705882348986654,0.025,1.0,0.4747702342128668,0.6306663642233262,1,89.5,0.10499999999999998,0.5938984407677496,2
ILDR1,Q86SU0,9,556.0,9,0.007405,LYS,0.999999999159664,0.088,0.0351731772892614,0.4390750074117995,0.5422744550741839,3,66.1,0.3390000000000001,0.5042207047456106,3
LY75,O60449,93,6751.2,66,0.010213,LYS,0.3781512601864275,0.014,0.4270884074015499,0.6055736732878743,0.4610591282813983,6,27.0,0.73,0.48487288160768316,4
CDH1,P12830,23,193.5,5,0.006153,LYS,0.8739495790975214,0.073,0.0122410248299857,0.3648384227690482,0.4627036659187187,5,24.6,0.754,0.47616426582539023,5
ABCC4,O15439,71,7101.9,43,0.008709,LYS,0.352941176173999,0.011,0.4492740787600822,0.5163949006818855,0.4308771643021899,7,11.8,0.882,0.4756103604593957,6
RHBDF2,Q6PJF5,24,2581.0,20,0.016865,LYS,0.3277310921615705,0.008,0.1632769255100427,1.0,0.4800755145176409,4,43.5,0.565,0.47018895990956244,7
CLDN4,O14493,5,88.1,3,0.003426,LYS,0.8823529404349976,0.074,0.0055733038114818,0.2031426030240142,0.4155559482246479,8,15.8,0.842,0.4454811710516972,8
SLC29A3,Q9BZD2,17,2987.0,17,0.012023,LYS,0.352941176173999,0.011,0.1889609362644314,0.7128965312777942,0.4117337107322673,10,18.7,0.813,0.4397418253596776,9
CACHD1,Q5VU97,68,7937.0,60,0.009449,LYS,0.201680672099428,-0.007,0.5021034319152301,0.5602727542247258,0.3993851246817579,12,24.3,0.757,0.4369874533655502,10
EPCAM,P16422,7,358.9,9,0.004056,LYS,0.8067226883977121,0.065,0.0227044124624387,0.2404980729321078,0.4016498209774488,11,13.4,0.866,0.4358887829109578,11
ABCA12,Q86UK0,162,5447.7,46,0.006547,LYS,0.4873949575736176,0.027,0.3446275502135062,0.3882004150607767,0.4148063726117319,9,45.2,0.548,0.4258266039800122,12
ATP13A3,Q9H7F0,64,5781.5,47,0.008213,LYS,0.3109243694866181,0.006,0.3657441088091096,0.4869848799288466,0.3801884444160341,19,20.8,0.792,0.41949298194526086,13
ANO6,Q4KMQ2,51,4108.8,24,0.010776,LYS,0.2773109241367135,0.002,0.2599272497232326,0.6389564186184405,0.3805894701571873,16,15.3,0.847,0.4194761030194296,14
CLDN3,O15551,3,101.4,3,0.000105,SER,0.9663865538097594,0.084,0.0064146765775739,0.0062259116513489,0.3903467979925806,14,22.3,0.777,0.4194161747195252,15
UNC93A,Q86WB7,22,1404.4,11,0.008546,LYS,0.50420168024857,0.029,0.0888439032105013,0.5067299140231247,0.3803528172695158,17,13.6,0.864,0.4162062375559311,16
ATP2B4,P23634,53,7229.4,27,0.008561,LYS,0.2268907561118565,-0.004,0.457339870314724,0.5076193299733174,0.380244062531155,18,27.8,0.722,0.4157185582268963,17
MMEL1,Q495T6,33,4301.3,22,0.008489,LYS,0.3277310921615705,0.008,0.2721050134429859,0.5033501334123924,0.3637289809212417,27,8.3,0.917,0.4138749196425435,18
RAET1L,Q5VY80,9,67.6,4,0.007496,LYS,0.6470588229856649,0.046,0.0042764510517159,0.4444707975096353,0.3934477037626713,13,29.7,0.7030000000000001,0.4091712227379063,19
ABCA1,O95477,135,6491.6,40,0.008703,LYS,0.252100840124285,-0.001,0.4106658231851969,0.5160391343018085,0.3788518232958155,20,33.0,0.6699999999999999,0.4074448245745109,20
ABCB11,O95342,73,3930.6,23,0.010515,LYS,0.252100840124285,-0.001,0.2486541198798038,0.6234805810850874,0.3624807463391813,29,12.3,0.877,0.40640167527871274,21
ABCA3,Q99758,81,5727.2,33,0.007265,LYS,0.2941176468116659,0.004,0.3623090305234857,0.4307737918766676,0.3555719054447123,34,14.6,0.854,0.40472733351029566,22
SLCO4C1,Q6ZQN7,22,5484.0,49,0.007704,LYS,0.3109243694866181,0.006,0.3469239285149454,0.4568040320189742,0.3654881359548231,25,24.4,0.756,0.4027017158795435,23
PRSS8,Q16651,17,170.5,3,1.1e-05,SER,0.9159663857849024,0.078,0.0107860192946386,0.0006522383634746,0.369818031611395,24,22.2,0.778,0.401787100403976,24
TSPAN1,O60635,5,82.4,5,0.007147,LYS,0.5882352936233318,0.039,0.0052127154831567,0.4237770530684849,0.3639910480148252,26,12.4,0.876,0.4009904306802344,25
CDCP1,Q9H5V8,39,628.2,8,0.007496,LYS,0.5714285709483794,0.037,0.0397406294480468,0.4444707975096353,0.3738348564666564,22,26.2,0.738,0.3968398880437557,26
SLC52A3,Q9NQ40,12,2349.1,14,0.0081,LYS,0.4369747895487607,0.021,0.1486066740471295,0.4802846131040616,0.3634573019648616,28,22.0,0.78,0.3955943318322205,27
CDH3,P22223,19,257.0,2,0.006118,LYS,0.6470588229856649,0.046,0.0162581053297485,0.3627631188852653,0.3725298964587701,23,29.6,0.704,0.3924387993652236,28
PTK7,Q13308,42,1734.7,6,0.006637,LYS,0.4957983189110939,0.028,0.109739047920291,0.3935369107619329,0.3493021151691047,41,14.2,0.858,0.3906353536854534,29
SLITRK4,Q8IW52,19,4195.3,32,0.011392,LYS,0.2352941174493327,-0.003,0.2653993357583425,0.675481766973021,0.3763819777991422,21,40.3,0.597,0.3905431835780244,30
