Feature,LDT-TargetDB,DrugMap,ImmunoTar,TCSA
Surface proteome annotation,"SURFY (2,799 unique after dedup; 93.5% ML accuracy)",Not surface-specific (whole proteome),"Multiple DBs (CIRFESS, COMPARTMENTS)",9 surfaceome resources integrated
Tumor/normal expression,TCGA 32 cancer types + GTEx 31 tissue sites,416 cancer cell lines,GTEx normal + user-provided tumor,TCGA + GTEx integration
Systematic single-cell atlas validation,Targeted (2 GEO datasets); systematic atlas integration planned,Not available,Not available,13 cancer scRNA-seq datasets
Tumor protein-level evidence (HPA pathology IHC),Yes,Not available,Not available,Not available
3D structural analysis,"AlphaFold DB (v6; 2,490 structures)",Limited (cysteine structural features),Not available,Not available
Binding pocket detection,pyKVFinder (grid-based),Not available,Not available,Not available
pKa prediction,PROPKA 3.5,Not available,Not available,Not available
Solvent accessibility (SASA),FreeSASA,Not available,Not available,Not available
Lys scoring,Yes (NASA weights),Not available,Not available,Not available
Cys scoring,Yes (labile thioester),Yes (primary; isoTOP-ABPP cysteine ligandability),Not available,Not available
Tyr scoring,Yes (labile phenol ester),Not available,Not available,Not available
Ser scoring,Yes (labile alkyl ester),Not available,Not available,Not available
Extracellular accessibility filter,"Yes (post hoc, top-200)",Not available,Not available,Not available
Normal tissue risk scoring,Yes (7 radiosensitive organs),Not available,Not available,Not available
DepMap essentiality,Yes (CRISPR Chronos),Yes (CRISPR screens),Yes (DepMap integration),Not available
Cancer-type specificity,32 TCGA cancer types + ITSI matrix,By lineage subtypes,Phenotype-optimized,Pan-cancer surfaceome atlas
Binder tractability,Yes (0-7 curation scale),Yes (reagent level),Not available,Not available
Covalent strategy comparison,Yes (LDT-NAS / SuFEx / acrylamide),Yes (cysteine-focused only),Not available,Not available
Interactive web interface,Streamlit,Web portal (drugmap.net),R Shiny,Web portal (fcgportal.org)
Data download,CSV export,Yes,Yes,Yes
