gene,rank,final_score,tsi_norm,pocket_norm,ldt_norm,ldt_score,n_pockets,n_nucleophiles,top_res_type,uniprot_id,tumor_median_log2,tumor_positive_rate,depmap_score,depmap_label,mean_plddt,plddt_below_70,plddt_below_50,enhanced_score,enhanced_rank
ABCC5,2,0.5745035107311252,0.2100840334369042,0.7843808318835995,0.8505188259709457,0.014344,60,54,LYS,O15440,3.64,0.998,0.07345121724888734,Non-essential,78.0,19.5,14.1,0.5777543261665528,1
MUC1,1,0.6306663642233262,0.4705882348986654,1.0,0.4747702342128668,0.008007,18,80,LYS,P15941,6.323,0.952,-0.13455896202949535,Non-essential,47.4,89.5,71.0,0.5588984407677495,2
ILDR1,3,0.5422744550741839,0.999999999159664,0.0351731772892614,0.4390750074117995,0.007405,9,9,LYS,Q86SU0,2.183,0.742,0.00449003491683425,Non-essential,59.0,66.1,52.6,0.5174620458811476,3
CDH1,5,0.4627036659187187,0.8739495790975214,0.0122410248299857,0.3648384227690482,0.006153,23,5,LYS,P12830,6.32,0.912,-0.0778074377143686,Non-essential,79.2,24.6,16.2,0.490552214583891,4
LY75,6,0.4610591282813983,0.3781512601864275,0.4270884074015499,0.6055736732878743,0.010213,93,66,LYS,O60449,2.115,0.796,0.01859964190735675,Non-essential,75.6,27.0,10.1,0.47851846123760566,5
RHBDF2,4,0.4800755145176409,0.3277310921615705,0.1632769255100427,1.0,0.016865,24,20,LYS,Q6PJF5,4.288,0.998,-0.19188245630074657,Non-essential,67.4,43.5,34.9,0.47702511363406036,6
ABCC4,7,0.4308771643021899,0.352941176173999,0.4492740787600822,0.5163949006818855,0.008709,71,43,LYS,O15439,2.022,0.877,0.12964385706404147,Non-essential,83.0,11.8,7.9,0.4681466565213916,7
CLDN4,8,0.4155559482246479,0.8823529404349976,0.0055733038114818,0.2031426030240142,0.003426,5,3,LYS,O14493,7.182,0.847,0.0492802975086306,Non-essential,84.6,15.8,5.3,0.46020250586112316,8
EPCAM,11,0.4016498209774488,0.8067226883977121,0.0227044124624387,0.2404980729321078,0.004056,7,9,LYS,P16422,7.198,0.882,-0.13453040738648508,Non-essential,87.2,13.4,3.5,0.44975356228783586,9
SLC29A3,10,0.4117337107322673,0.352941176173999,0.1889609362644314,0.7128965312777942,0.012023,17,17,LYS,Q9BZD2,2.74,0.988,-0.0327084810632418,Non-essential,82.3,18.7,16.0,0.445293778546456,10
CLDN3,14,0.3903467979925806,0.9663865538097594,0.0064146765775739,0.0062259116513489,0.000105,3,3,SER,O15551,4.814,0.763,0.10192763014880465,Non-essential,81.5,22.3,8.6,0.4340954408906465,11
CACHD1,12,0.3993851246817579,0.201680672099428,0.5021034319152301,0.5602727542247258,0.009449,68,60,LYS,Q5VU97,1.47,0.795,-0.02865238615677905,Non-essential,77.6,24.3,17.3,0.42688228176978876,12
UNC93A,17,0.3803528172695158,0.50420168024857,0.0888439032105013,0.5067299140231247,0.008546,22,11,LYS,Q86WB7,-4.293,0.182,0.0701394581118148,Non-essential,85.1,13.6,8.1,0.426764042395406,13
RAET1L,13,0.3934477037626713,0.6470588229856649,0.0042764510517159,0.4444707975096353,0.007496,9,4,LYS,Q5VY80,-3.047,0.245,-0.0632837516645214,Non-essential,82.1,29.7,11.8,0.4239574001853205,14
ABCA12,9,0.4148063726117319,0.4873949575736176,0.3446275502135062,0.3882004150607767,0.006547,162,46,LYS,Q86UK0,-2.727,0.284,0.0147802767617644,Non-essential,68.1,45.2,17.7,0.42359522646933695,15
ANO6,16,0.3805894701571873,0.2773109241367135,0.2599272497232326,0.6389564186184405,0.010776,51,24,LYS,Q4KMQ2,4.004,0.997,0.005084054979998949,Non-essential,81.6,15.3,6.6,0.421479740533268,16
PRSS8,24,0.369818031611395,0.9159663857849024,0.0107860192946386,0.0006522383634746,1.1e-05,17,3,SER,Q16651,6.189,0.829,-0.01263341251302995,Non-essential,83.7,22.2,16.6,0.41624779943924417,17
ATP13A3,19,0.3801884444160341,0.3109243694866181,0.3657441088091096,0.4869848799288466,0.008213,64,47,LYS,Q9H7F0,4.863,0.999,-0.01264391699844655,Non-essential,77.7,20.8,11.5,0.4162057765048054,18
TSPAN1,26,0.3639910480148252,0.5882352936233318,0.0052127154831567,0.4237770530684849,0.007147,5,5,LYS,O60635,5.348,0.881,-0.0753725143693718,Non-essential,88.2,12.4,4.6,0.41572979490607653,19
MMEL1,27,0.3637289809212417,0.3277310921615705,0.2721050134429859,0.5033501334123924,0.008489,33,22,LYS,Q495T6,1.177,0.643,-0.0838671325343793,Non-essential,90.0,8.3,7.6,0.41526966897039425,20
CDCP1,22,0.3738348564666564,0.5714285709483794,0.0397406294480468,0.4444707975096353,0.007496,39,8,LYS,Q9H5V8,3.321,0.833,-0.01139308407706985,Non-essential,77.6,26.2,19.3,0.4098528565713533,21
ABCB11,29,0.3624807463391813,0.252100840124285,0.2486541198798038,0.6234805810850874,0.010515,73,23,LYS,O95342,-6.506,0.031,-0.027124017247913253,Non-essential,83.1,12.3,8.8,0.4089689692847226,22
ATP2B4,18,0.380244062531155,0.2268907561118565,0.457339870314724,0.5076193299733174,0.008561,53,27,LYS,P23634,4.777,0.999,-0.20549267079087014,Non-essential,72.7,27.8,21.3,0.40785156471116013,23
CDH3,23,0.3725298964587701,0.6470588229856649,0.0162581053297485,0.3627631188852653,0.006118,19,2,LYS,P22223,4.475,0.827,0.00286070954503935,Non-essential,76.7,29.6,22.0,0.4066258940987362,24
SLC52A3,28,0.3634573019648616,0.4369747895487607,0.1486066740471295,0.4802846131040616,0.0081,12,14,LYS,Q9NQ40,2.151,0.753,0.10080924910246365,Non-essential,80.4,22.0,15.8,0.40316399812986403,25
TACSTD2,30,0.3612506521015708,0.7226890750229503,0.0143159892456112,0.2262674177290246,0.003816,9,5,LYS,P09758,6.489,0.813,-0.0935735827287819,Non-essential,82.7,25.1,8.7,0.40298702800169156,26
ABCA1,20,0.3788518232958155,0.252100840124285,0.4106658231851969,0.5160391343018085,0.008703,135,40,LYS,O95477,2.299,0.951,0.01083110257738155,Non-essential,73.2,33.0,8.7,0.4019115334152511,27
ABCA3,34,0.3555719054447123,0.2941176468116659,0.3623090305234857,0.4307737918766676,0.007265,81,33,LYS,Q99758,3.175,0.863,0.0086796291662919,Non-essential,80.8,14.6,5.0,0.40161188198412145,28
NETO1,15,0.387182366254034,0.252100840124285,0.0057630871421793,0.9487103468722206,0.016,14,4,LYS,Q8TDF5,-3.047,0.175,0.07735105246692134,Non-essential,71.7,40.7,37.1,0.4011536525470998,29
SLCO4C1,25,0.3654881359548231,0.3109243694866181,0.3469239285149454,0.4568040320189742,0.007704,22,49,LYS,Q6ZQN7,-3.047,0.247,-0.00618060021772245,Non-essential,78.6,24.4,16.2,0.4003555194537962,30
PTK7,41,0.3493021151691047,0.4957983189110939,0.109739047920291,0.3935369107619329,0.006637,42,6,LYS,Q13308,5.455,0.984,-0.059961282587309345,Non-essential,82.7,14.2,9.4,0.40014840128943885,31
GJB1,32,0.3579473483403046,0.5378151255984748,0.0083567926617112,0.4677142010080046,0.007888,18,3,LYS,P08034,1.331,0.562,0.0755525561283461,Non-essential,80.2,22.3,10.2,0.3999530423768951,32
MET,33,0.3576284408978785,0.4369747895487607,0.1306594970741736,0.4788022531870738,0.008075,66,23,LYS,P08581,3.673,0.884,-0.01245434682054625,Non-essential,79.2,21.4,13.9,0.3989066139073781,33
SLC2A1,92,0.3156896699391135,0.3949579828613799,0.087028309346829,0.4386599466350429,0.007398,24,7,LYS,P11166,6.279,0.992,-0.4051544621694808,Context-dependent,90.3,6.1,4.9,0.39855735799695097,34
CCR8,43,0.3450610082733876,0.6134453776357603,0.0576245453107702,0.2746516454195078,0.004632,10,14,LYS,P51685,-2.548,0.137,-0.01337766700904865,Non-essential,82.1,18.3,14.4,0.3944749298550856,35
SLITRK4,21,0.3763819777991422,0.2352941174493327,0.2653993357583425,0.675481766973021,0.011392,19,32,LYS,Q8IW52,-1.831,0.278,0.0629940287228361,Non-essential,68.1,40.3,35.0,0.3922732167901073,36
CNTNAP2,45,0.3410316205252715,0.4201680668738084,0.1204554799936738,0.45609249925882,0.007692,57,17,LYS,Q9UHC6,-0.512,0.46,0.01441020071035275,Non-essential,83.4,16.1,11.0,0.39009581821895634,37
MPEG1,44,0.3449259409983737,0.3697478988489514,0.0442448204965997,0.6125111176993774,0.01033,40,8,LYS,Q2M385,2.418,0.924,-0.15127378239426587,Non-essential,82.7,19.0,10.2,0.38960074914612725,38
GPR160,36,0.3526820897506701,0.5378151255984748,0.0132785070377985,0.445241624666469,0.007509,27,3,LYS,Q9UJ42,3.492,0.912,0.0335262326763529,Non-essential,76.5,29.3,17.8,0.388565326885533,39
CNTNAP5,49,0.3336654434607574,0.2605042014617612,0.107600822394433,0.6572783871924103,0.011085,65,16,LYS,Q8WYK1,-9.966,0.051,0.0192016917964126,Non-essential,84.0,13.5,9.3,0.3838962729083273,40
GJB2,64,0.325231179909707,0.6134453776357603,0.0084833148821761,0.2576934479691669,0.004346,12,4,LYS,P29033,3.354,0.842,-0.04945870039076365,Non-essential,86.2,12.8,2.7,0.3834500728853519,41
HLA-DPB1,51,0.3320077338773571,0.4117647055363322,0.0088439032105013,0.5488289356655796,0.009256,2,4,LYS,P04440,7.152,1.0,0.042611463651985246,Non-essential,87.4,15.5,1.9,0.3830358566567365,42
CYBB,81,0.3187846977659736,0.403361344198856,0.1020907796931836,0.4227097539282537,0.007129,31,11,LYS,P04839,3.032,0.935,0.08878973645784186,Non-essential,90.2,4.6,0.5,0.3827766038749589,43
EPHB3,50,0.3334084864915573,0.4285714282112846,0.1011545152617428,0.438778535428402,0.0074,41,13,LYS,P54753,3.354,0.868,-0.00635008367907015,Non-essential,82.1,17.3,12.3,0.3826832625464858,44
SLC15A1,74,0.3213568308820455,0.3949579828613799,0.0912731298434287,0.4533056626148828,0.007645,24,17,LYS,P46059,-1.831,0.329,0.08156008579403555,Non-essential,87.0,6.9,2.7,0.3824799921160609,45
CLCA4,63,0.3256578367056941,0.2184873947743803,0.1413189941483473,0.6528906018381262,0.011011,36,23,LYS,Q14CN2,-5.012,0.182,-0.00127368673774655,Non-essential,89.3,8.6,5.0,0.38142298716765155,46
GPR143,38,0.3515686422690766,0.4369747895487607,0.092019610944172,0.4972428105544025,0.008386,17,9,LYS,P51810,1.311,0.725,0.10744039085339441,Non-essential,73.5,33.9,23.8,0.38135678171670984,47
SPPL2A,46,0.3394762057616052,0.2857142854741897,0.2160366914439348,0.5345982804624962,0.009016,21,17,LYS,Q8TCT8,4.932,1.0,0.020440570333133352,Non-essential,79.4,23.5,11.2,0.3791587428925742,48
SLC19A1,40,0.3506409517666791,0.302521008149142,0.2553914281195635,0.5100504002371775,0.008602,19,30,LYS,P41440,3.217,0.992,-0.02268396821038045,Non-essential,72.1,34.3,31.5,0.37794280994138496,49
NETO2,37,0.3526530835180188,0.453781512223713,0.0147018820180294,0.5557663800770827,0.009373,11,4,LYS,Q8NC67,2.919,0.916,0.032695373737625905,Non-essential,72.1,39.8,29.9,0.37664059480207757,50
ITGB4,39,0.351465423321957,0.403361344198856,0.3970330539300964,0.236703231544619,0.003992,85,38,LYS,P16144,5.797,0.994,-0.056928542922485156,Non-essential,68.4,38.4,24.0,0.3762105418382784,51
SLC33A1,61,0.3259097035927667,0.3361344534990467,0.1673888976751542,0.4707975096353393,0.00794,15,17,LYS,O00400,3.91,0.999,-0.16206345138549239,Non-essential,82.4,16.9,13.3,0.3752936605522897,52
ATP1B1,109,0.3121069192079195,0.3865546215239037,0.0124687648268227,0.5124814705010375,0.008643,13,5,LYS,P05026,6.861,0.998,-0.1254179681257649,Non-essential,89.6,6.6,0.3,0.37493167636533137,53
MST1R,55,0.3285047702159185,0.3781512601864275,0.1968622489324687,0.3939519715386895,0.006644,58,14,LYS,Q04912,2.79,0.748,-0.052916208613663,Non-essential,80.1,20.4,13.8,0.3746564961830392,54
VTCN1,103,0.3127493586874238,0.6134453776357603,0.0031061205124149,0.2214645715979839,0.003735,6,4,LYS,Q7Z7D3,-0.492,0.462,-0.1553564314757152,Non-essential,88.5,11.7,7.8,0.3741485552001158,55
CPD,65,0.3251627486415298,0.352941176173999,0.0914376087300332,0.5218499851764008,0.008801,54,22,LYS,O75976,3.961,0.998,-0.1832010891097102,Non-essential,82.5,17.8,13.6,0.3740513101375082,56
SLC9A7,35,0.355350351964318,0.3865546215239037,0.1510991617902894,0.5179958493922324,0.008736,33,15,LYS,Q96T83,2.053,0.916,0.0153554697984122,Non-essential,67.1,43.9,26.3,0.37366787032899673,57
OR2T33,336,0.2695665398819519,0.2605042014617612,0.0821382255258579,0.4690779721316335,0.007911,18,10,LYS,Q8NG76,-9.966,0.001,-0.6056867939587738,Essential,88.7,6.6,1.9,0.37238051992598925,58
CATSPERG,78,0.3193489705199096,0.2605042014617612,0.2936770520322632,0.4234805810850874,0.007142,71,35,LYS,Q6ZRH7,0.934,0.755,-0.1049606397546933,Non-essential,83.9,13.1,7.2,0.37236587879095406,59
EFNA4,66,0.3250862165206689,0.4453781508862369,0.0127597659338921,0.4770234212866883,0.008045,7,5,LYS,P52798,3.842,0.978,-0.1592574236990451,Non-essential,82.7,21.4,11.4,0.371928149615328,60
EPHA10,60,0.3266536166893555,0.3613445375114751,0.1918140123359165,0.415238659946635,0.007003,42,18,LYS,Q5JZY3,-0.357,0.455,-0.10175777562884185,Non-essential,79.2,22.0,12.8,0.3712337561996542,61
SVOPL,84,0.3180005325182108,0.3361344534990467,0.1781432864146765,0.4336792173139638,0.007314,22,14,LYS,Q8N434,-1.51,0.305,0.0054488304750480495,Non-essential,83.8,14.4,10.4,0.37120268465682643,62
SLC22A14,69,0.3241218249205634,0.2605042014617612,0.2483947493278507,0.4846723984583457,0.008174,17,26,LYS,Q9Y267,-4.293,0.003,0.0437813258989124,Non-essential,81.2,19.4,12.5,0.3700432574581655,63
PLAUR,62,0.3257091683506955,0.4117647055363322,0.0294733512573145,0.5072042691965609,0.008554,16,4,LYS,Q03405,4.751,0.992,-0.0848302574872164,Non-essential,81.5,24.2,18.2,0.3690870520511851,64
SLC22A9,106,0.3126603712719629,0.2605042014617612,0.2180167641942116,0.4768455380966498,0.008042,33,11,LYS,Q8IVM8,-9.966,0.043,-0.12442397188950474,Non-essential,85.7,11.2,4.3,0.36869204608433176,65
ATP1A1,406,0.2622945342612204,0.3361344534990467,0.0639063735568559,0.3622294693151496,0.006109,49,13,LYS,P05023,8.109,1.0,-1.249447818147238,Essential,88.7,5.7,2.9,0.3684810194426677,66
DUOX2,91,0.3160297493865433,0.2689075627992374,0.221186145816859,0.4737029350726355,0.007989,78,22,LYS,Q9NRD8,-1.552,0.377,-0.1470485056814292,Non-essential,84.0,14.4,7.6,0.3684399172021067,67
OTOA,100,0.3133814515731918,0.2689075627992374,0.1561473983868417,0.5299140231248147,0.008937,62,18,LYS,Q7RTW8,-2.548,0.048,0.018269891818062052,Non-essential,84.0,12.4,7.9,0.3682330023576472,68
FCGR1A,280,0.2758439262306208,0.4789915962361415,0.0095524276451051,0.2712718648087756,0.004575,9,4,LYS,P12314,3.541,0.961,-0.7475102334035815,Essential,85.1,19.8,9.1,0.36805313179611965,69
NPC1L1,105,0.3127189928294593,0.2436974787868088,0.2787474300173968,0.4387192410317225,0.007399,68,36,LYS,Q9UHC9,-3.816,0.134,-0.2147768885786263,Non-essential,84.2,12.7,6.4,0.3669607853376629,70
PKDREJ,48,0.3378475484343457,0.2605042014617612,0.2886920765459433,0.4901274829528609,0.008266,129,33,LYS,Q9NTG1,-4.035,0.001,-0.01206742872795535,Non-essential,70.7,34.7,16.7,0.36618136038631754,71
TNFRSF21,42,0.3456417113816308,0.453781512223713,0.0303463545785228,0.5167506670619626,0.008715,24,7,LYS,O75509,4.871,0.994,0.1112581767834228,Non-essential,68.0,44.9,40.2,0.3656977846884209,72
