gene,enhanced_score_v2,rank_v2,tsi_norm,ldt_norm,pocket_norm,eas,ntrs,risk_level,top_res_type,n_nucleophiles,n_extracellular_domains,depmap_label,mean_plddt
MUC1,0.6381011055672398,1,0.4705882348986654,0.4747702342128668,1.0,1.0,9.0,High,LYS,80,1.0,Non-essential,47.4
ILDR1,0.5937496367301281,2,0.999999999159664,0.4390750074117995,0.0351731772892614,1.0,6.0,High,LYS,9,1.0,Non-essential,59.0
LY75,0.5890702311844918,3,0.3781512601864275,0.6055736732878743,0.4270884074015499,1.0,4.5,High,LYS,66,1.0,Non-essential,75.6
ABCC4,0.5845690899318934,4,0.352941176173999,0.5163949006818855,0.4492740787600822,1.0,0.0,Low,LYS,43,5.0,Non-essential,83.0
CDH1,0.5843032842941871,5,0.8739495790975214,0.3648384227690482,0.0122410248299857,1.0,9.0,High,LYS,5,1.0,Non-essential,79.2
ABCC5,0.5750009399301351,6,0.2100840334369042,0.8505188259709457,0.7843808318835995,0.5,6.0,High,LYS,54,0.0,Non-essential,78.0
SLC29A3,0.5649067875519449,7,0.352941176173999,0.7128965312777942,0.1889609362644314,1.0,6.0,High,LYS,17,5.0,Non-essential,82.3
CLDN4,0.5615314164758486,8,0.8823529404349976,0.2031426030240142,0.0055733038114818,1.0,9.0,High,LYS,3,2.0,Non-essential,84.6
EPCAM,0.5559211691783374,9,0.8067226883977121,0.2404980729321078,0.0227044124624387,1.0,9.0,High,LYS,9,1.0,Non-essential,87.2
CACHD1,0.5535954052528482,10,0.201680672099428,0.5602727542247258,0.5021034319152301,1.0,6.0,High,LYS,60,1.0,Non-essential,77.6
ANO6,0.548804464702513,11,0.2773109241367135,0.6389564186184405,0.2599272497232326,1.0,9.0,High,LYS,24,4.0,Non-essential,81.6
ABCB11,0.5401521502240496,12,0.252100840124285,0.6234805810850874,0.2486541198798038,1.0,6.0,High,LYS,23,5.0,Non-essential,83.1
ATP2B4,0.5369145290855725,13,0.2268907561118565,0.5076193299733174,0.457339870314724,1.0,9.0,High,LYS,27,5.0,Non-essential,72.7
CLDN3,0.5368247560982244,14,0.9663865538097594,0.0062259116513489,0.0064146765775739,1.0,9.0,High,SER,3,2.0,Non-essential,81.5
TSPAN1,0.5354567771161614,15,0.5882352936233318,0.4237770530684849,0.0052127154831567,1.0,9.0,High,LYS,5,2.0,Non-essential,88.2
SLC2A1,0.5327771469117194,16,0.3949579828613799,0.4386599466350429,0.087028309346829,1.0,6.0,High,LYS,7,6.0,Context-dependent,90.3
ABCA1,0.5303662015284724,17,0.252100840124285,0.5160391343018085,0.4106658231851969,1.0,6.0,High,LYS,40,2.0,Non-essential,73.2
SLCO4C1,0.5290766844784385,18,0.3109243694866181,0.4568040320189742,0.3469239285149454,1.0,,No HPA data,LYS,49,6.0,Non-essential,78.6
CDCP1,0.5284994281286313,19,0.5714285709483794,0.4444707975096353,0.0397406294480468,1.0,6.0,High,LYS,8,1.0,Non-essential,77.6
NETO1,0.5282198968339513,20,0.252100840124285,0.9487103468722206,0.0057630871421793,1.0,,No HPA data,LYS,4,1.0,Non-essential,71.7
SLC52A3,0.5280219548174285,21,0.4369747895487607,0.4802846131040616,0.1486066740471295,1.0,6.0,High,LYS,14,6.0,Non-essential,80.4
PTK7,0.5254047714642183,22,0.4957983189110939,0.3935369107619329,0.109739047920291,1.0,6.0,High,LYS,6,1.0,Non-essential,82.7
MET,0.5247360474394397,23,0.4369747895487607,0.4788022531870738,0.1306594970741736,1.0,6.0,High,LYS,23,1.0,Non-essential,79.2
CDH3,0.5229689505894191,24,0.6470588229856649,0.3627631188852653,0.0162581053297485,1.0,6.0,High,LYS,2,1.0,Non-essential,76.7
GJB1,0.5223679801335619,25,0.5378151255984748,0.4677142010080046,0.0083567926617112,1.0,9.0,High,LYS,3,2.0,Non-essential,80.2
SLITRK4,0.521699749908606,26,0.2352941174493327,0.675481766973021,0.2653993357583425,1.0,0.0,Low,LYS,32,1.0,Non-essential,68.1
CNTNAP5,0.519601892282809,27,0.2605042014617612,0.6572783871924103,0.107600822394433,1.0,,No HPA data,LYS,16,1.0,Non-essential,84.0
CNTNAP2,0.5192516125689508,28,0.4201680668738084,0.45609249925882,0.1204554799936738,1.0,0.0,Low,LYS,17,1.0,Non-essential,83.4
OR2T33,0.5187692898969385,29,0.2605042014617612,0.4690779721316335,0.0821382255258579,1.0,,No HPA data,LYS,10,4.0,Essential,88.7
TACSTD2,0.5186889501506647,30,0.7226890750229503,0.2262674177290246,0.0143159892456112,1.0,6.0,High,LYS,5,1.0,Non-essential,82.7
CCR8,0.5165165825549958,31,0.6134453776357603,0.2746516454195078,0.0576245453107702,1.0,0.0,Low,LYS,14,4.0,Non-essential,82.1
CYBB,0.5162004427740015,32,0.403361344198856,0.4227097539282537,0.1020907796931836,1.0,4.0,High,LYS,11,3.0,Non-essential,90.2
SLC15A1,0.5157552542070074,33,0.3949579828613799,0.4533056626148828,0.0912731298434287,1.0,3.0,Low,LYS,17,6.0,Non-essential,87.0
HLA-DPB1,0.5139757441592993,34,0.4117647055363322,0.5488289356655796,0.0088439032105013,1.0,6.0,High,LYS,4,1.0,Non-essential,87.4
ATP1A1,0.5135607819491628,35,0.3361344534990467,0.3622294693151496,0.0639063735568559,1.0,9.0,High,LYS,13,5.0,Essential,88.7
EPHB3,0.5128294671908502,36,0.4285714282112846,0.438778535428402,0.1011545152617428,1.0,6.0,High,LYS,13,1.0,Non-essential,82.1
GPR160,0.5118578077404723,37,0.5378151255984748,0.445241624666469,0.0132785070377985,1.0,6.0,High,LYS,3,4.0,Non-essential,76.5
CATSPERG,0.5104575769889104,38,0.2605042014617612,0.4234805810850874,0.2936770520322632,1.0,,No HPA data,LYS,35,1.0,Non-essential,83.9
ATP1B1,0.510028702446548,39,0.3865546215239037,0.5124814705010375,0.0124687648268227,1.0,9.0,High,LYS,5,1.0,Non-essential,89.6
SLC33A1,0.5097708948368604,40,0.3361344534990467,0.4707975096353393,0.1673888976751542,1.0,6.0,High,LYS,17,6.0,Non-essential,82.4
SLC19A1,0.5094186177086337,41,0.302521008149142,0.5100504002371775,0.2553914281195635,1.0,0.0,Low,LYS,30,6.0,Non-essential,72.1
