gene,uniprot_id,n_pockets,max_pocket_volume,n_nucleophiles,ldt_score,top_res_type,top_res_pka,top_res_sasa,error,tsi_norm,pocket_norm,ldt_norm,final_score,description,rank
MUC1,P15941,18,15807.5,87,0.0066,HIS,6.5,0.9,,0.579744816563806,1.0,0.7586206896551725,0.7594841335220741,Mucin-1,1
CD24,P25063,2,62.5,2,0.0044,HIS,6.2,0.7,,0.9549441785903132,0.003953819389530286,0.5057471264367817,0.5348879551840189,Signal transducer CD24,2
ILDR1,Q86SU0,9,556.0,9,0.0037,LYS,10.4,0.8,,0.9796650717312732,0.03517317728926143,0.4252873563218391,0.5300041887758394,Immunoglobulin-like domain-containing receptor 1,3
SEZ6L2,Q6UXD5,27,1292.3,12,0.0057,HIS,6.9,0.6,,0.7169059010878427,0.08175233275343982,0.6551724137931035,0.5078397843991,Seizure 6-like protein 2,4
CDH1,P12830,23,193.5,6,0.0031,LYS,10.4,0.7,,0.9900318978871596,0.012241024829985766,0.3563218390804598,0.5065816183279975,Cadherin-1,5
ITGB4,P16144,85,6276.1,38,0.0052,HIS,6.5,0.7,,0.5027910685604947,0.39703305393009647,0.5977011494252874,0.499536688430813,Integrin beta-4,6
TGFA,P01135,4,319.0,3,0.0087,HIS,7.0,0.9,,0.4708931419269979,0.02018029416416258,1.0,0.4944113450200479,Protransforming growth factor alpha,7
LY75,O60449,93,6751.2,56,0.0051,LYS,10.1,1.0,,0.4537480063614932,0.4270884074015499,0.5862068965517242,0.4854877937305795,Lymphocyte antigen 75,8
TMEM132A,Q24JP5,55,1075.7,5,0.0066,HIS,6.5,0.8,,0.5757575757346189,0.06804997627708366,0.7586206896551725,0.4783042300735244,Transmembrane protein 132A,9
MET,P08581,66,2065.4,25,0.0065,HIS,6.5,0.9,,0.5291068580331297,0.13065949707417365,0.7471264367816092,0.4749785233699867,Hepatocyte growth factor receptor,10
PODXL2,Q9NZ53,8,492.0,5,0.007,HIS,6.4,0.9,,0.5550239234228459,0.031124466234382413,0.8045977011494254,0.47272621958428074,Podocalyxin-like protein 2,11
RNF128,Q8TEB7,14,426.0,3,0.0081,HIS,7.1,0.8,,0.4601275916881926,0.026949232959038432,0.9310344827586207,0.4714461513905748,E3 ubiquitin-protein ligase RNF128,12
HLA-DMB,P28068,4,116.2,6,0.0071,HIS,7.0,0.7,,0.539872408271935,0.007350941009014708,0.8160919540229886,0.462981831818375,"HLA class II histocompatibility antigen, DM beta chain",13
CD48,P09326,7,39.4,2,0.0068,HIS,6.4,0.9,,0.5693779904079195,0.0024924877431598924,0.7816091954022989,0.4629817011068054,CD48 antigen,14
CLDN4,O14493,5,88.1,2,0.0017,LYS,10.2,0.3,,0.9999999999601276,0.005573303811481891,0.19540229885057472,0.46029268078266805,Claudin-4,15
SLC39A4,Q6P5W5,28,542.2,7,0.0068,HIS,6.3,1.0,,0.5366826156085852,0.03430017396805314,0.7816091954022989,0.45944585705453966,Zinc transporter ZIP4,16
ZP3,P21754,12,123.4,3,0.0066,HIS,6.3,0.9,,0.5622009569153827,0.007806421002688598,0.7586206896551725,0.4548085159635114,Zona pellucida sperm-binding protein 3,17
EPHB2,P29323,37,2301.9,16,0.0063,HIS,6.5,0.8,,0.4832535884974779,0.14562074964415625,0.7241379310344828,0.4542290396025829,Ephrin type-B receptor 2,18
CADM1,Q9BY67,9,305.7,4,0.0077,HIS,6.4,1.1,,0.4533492822785746,0.019338921398070537,0.885057471264368,0.4526586307101614,Cell adhesion molecule 1,19
ITGB6,P18564,26,1075.7,7,0.0061,HIS,6.4,0.8,,0.5418660286865284,0.06804997627708366,0.7011494252873565,0.4475062319439434,Integrin beta-6,20
