gene,rank_v3,final_score_v3,max_pocket_volume,ligandability_score
MUC1,1,0.6306663642233262,15807.5,1.0
ABCC5,2,0.5745035107311252,12399.1,1.0
ILDR1,3,0.542260039008111,556.0,0.9998905573016795
RHBDF2,4,0.48007551451764097,2581.0,1.0
LY75,5,0.4610591282813983,6751.2,1.0
CDH1,6,0.44808732049185507,193.5,0.8664582774667876
ABCC4,7,0.4308771643021899,7101.9,1.0
ABCA12,8,0.4148063726117319,5447.7,1.0
SLC29A3,9,0.4117337107322673,2987.0,1.0
EPCAM,10,0.40124523222753294,358.9,0.9943923493858219
CACHD1,11,0.3993851246817579,7937.0,1.0
CLDN3,12,0.38942598480521795,101.4,0.5069995427025188
CLDN4,13,0.3814754822848902,88.1,0.44077927799765193
ANO6,14,0.38058947015718736,4108.8,1.0
UNC93A,15,0.3803528172688046,1404.4,0.9999999999953213
ATP2B4,16,0.38024406253115506,7229.4,1.0
ATP13A3,17,0.38018844441603417,5781.5,1.0
ABCA1,18,0.37885182329581557,6491.6,1.0
SLITRK4,19,0.3763819777991422,4195.3,1.0
CDCP1,20,0.3738314124411207,628.2,0.9999741713399776
PRSS8,21,0.3697796341974604,170.5,0.8037659436342208
CDH3,22,0.36801489742133564,257.0,0.9585128806983042
SLCO4C1,23,0.3654881359548231,5484.0,1.0
MMEL1,24,0.36372898092124173,4301.3,1.0
SLC52A3,25,0.3634573019648616,2349.1,1.0
ABCB11,26,0.36248074633918137,3930.6,1.0
ERVMER34-1,27,0.3593766988655047,2492.9,1.0
MET,28,0.35762844089787854,2065.4,1.0
TACSTD2,29,0.35622375047005694,226.3,0.9259445352764824
ABCA3,30,0.35557190544471234,5727.2,1.0
SLC9A7,31,0.355350351964318,2388.5,1.0
GPR143,32,0.3515686422688209,1454.6,0.9999999999982856
ITGB4,33,0.35146542332195707,6276.1,1.0
SLC19A1,34,0.3506409517666791,4037.1,1.0
PTK7,35,0.34930211516910403,1734.7,0.9999999999999938
TNFRSF21,36,0.3455637011784907,479.7,0.9994967901794002
CCR8,37,0.3450610008172225,910.9,0.9999999095076111
MPEG1,38,0.34492479835611656,699.4,0.9999937816516083
NETO2,39,0.34163017117384503,232.4,0.9338876145366156
CNTNAP2,40,0.3410316205252715,1904.1,0.9999999999999998
SPPL2A,41,0.3394762057616052,3415.0,1.0
GPR160,42,0.33933415988184246,209.9,0.9000697663968664
PKD1L2,43,0.33864355770910015,3673.6,1.0
PKDREJ,44,0.3378475484343457,4563.5,1.0
CNTNAP5,45,0.333665443460755,1700.9,0.9999999999999876
EPHB3,46,0.33340848649154475,1599.0,0.9999999999999045
FAM171A2,47,0.331505361851298,2685.9,1.0
PAM,48,0.3300031241146537,3859.5,1.0
MST1R,49,0.3285047702159185,3111.9,1.0
GPR39,50,0.32793741018068234,2558.5,1.0
TRPV4,51,0.32748330743359944,1486.3,0.9999999999990905
SLC9A2,52,0.3273507516859484,2359.3,1.0
EGFR,53,0.3271376104720684,4706.8,1.0
EPHA10,54,0.3266536166893555,3032.1,1.0
SLC33A1,55,0.3259097035927667,2646.0,1.0
CLCA4,56,0.32565783670569415,2233.9,1.0
PLAUR,57,0.3256082781274601,465.9,0.9993369520634147
CPD,58,0.3251627486412072,1445.4,0.9999999999979394
DAGLA,59,0.3247281075477787,3135.5,1.0
NRP2,60,0.3242207000341607,3037.7,1.0
SLC22A14,61,0.3241218249205634,3926.5,1.0
SLITRK5,62,0.3233631891257855,5402.1,1.0
CSF1R,63,0.3232852447457871,4050.4,1.0
ABCA2,64,0.32301188529931,4889.6,1.0
SLC15A1,65,0.32135683088175027,1442.8,0.9999999999978293
TMEM63C,66,0.3210681956515177,2117.1,1.0
IGF2R,67,0.3206925046951804,4201.5,1.0
SLC12A8,68,0.31942802818705907,588.3,0.999942633919865
CATSPERG,69,0.3193489705199096,4642.3,1.0
TMPRSS13,70,0.3189505705892802,422.9,0.9984345261175185
CCR6,71,0.31882735597562795,1495.0,0.999999999999236
CYBB,72,0.3187846977659646,1613.8,0.999999999999929
IGF1R,73,0.31828898433707586,2517.0,1.0
SVOPL,74,0.3180005325182108,2816.0,1.0
ABCA4,75,0.31795201145980573,5090.8,1.0
ANO1,76,0.31771177687280383,3222.5,1.0
ATP13A5,77,0.31707506266781194,3675.1,1.0
SLCO6A1,78,0.317000595636971,2438.7,1.0
ADAM8,79,0.31631053938860676,2289.2,1.0
ABCC12,80,0.3162655287310325,3747.8,1.0
DUOX2,81,0.3160297493865433,3496.4,1.0
SLC2A1,82,0.31568966993802045,1375.7,0.9999999999916935
ABCC11,83,0.3156755048451127,5976.6,1.0
ROS1,84,0.3156295109438388,3827.7,1.0
APLP2,85,0.3150778308268706,2584.1,1.0
ELFN2,86,0.31488417460780593,2141.7,1.0
ATP13A2,87,0.31390950413348945,3490.8,1.0
OR52R1,88,0.31368215067051153,1094.1,0.999999997680699
OTOA,89,0.31338145157319186,2468.3,1.0
SDC1,90,0.31314971991321516,28.7,0.19372269577057122
PTPRC,91,0.31298090703965453,2486.8,1.0
SGCZ,92,0.31273927680036595,2853.4,1.0
NPC1L1,93,0.3127189928294593,4406.3,1.0
SLC22A9,94,0.3126603712719629,3446.3,1.0
SLC35F4,95,0.31244809873518276,1090.0,0.9999999974825013
LAMP1,96,0.3116659497985609,2005.0,1.0
TMEM171,97,0.3112832750205591,1674.2,0.9999999999999787
CD6,98,0.3111719501864066,792.6,0.9999990358326561
CD24,99,0.31114320199126955,62.5,0.320821300824607
GJB1,100,0.3095677523547775,132.1,0.6552054233029431
