gene,enhanced_score,tsi_norm,ldt_norm,top_res_type,n_nucleophiles,depmap_label,mean_plddt,best_cancer,best_log2tpm,n_cancers_positive
ABCC5,0.5777543261665528,0.2100840334369042,0.8505188259709457,LYS,54,Non-essential,78.0,Lung Squamous,6.1,32
MUC1,0.5588984407677495,0.4705882348986654,0.4747702342128668,LYS,80,Non-essential,47.4,Lung Adeno,9.8,30
ILDR1,0.5174620458811476,0.999999999159664,0.4390750074117995,LYS,9,Non-essential,59.0,Kidney Chromophobe,4.2,19
CDH1,0.490552214583891,0.8739495790975214,0.3648384227690482,LYS,5,Non-essential,79.2,Thyroid,7.5,27
LY75,0.4785184612376056,0.3781512601864275,0.6055736732878743,LYS,66,Non-essential,75.6,AML,4.8,26
RHBDF2,0.4770251136340603,0.3277310921615705,1.0,LYS,20,Non-essential,67.4,Cholangiocarcinoma,5.5,32
ABCC4,0.4681466565213916,0.352941176173999,0.5163949006818855,LYS,43,Non-essential,83.0,Prostate,6.8,31
CLDN4,0.4602025058611231,0.8823529404349976,0.2031426030240142,LYS,3,Non-essential,84.6,Colorectal,9.0,22
EPCAM,0.4497535622878358,0.8067226883977121,0.2404980729321078,LYS,9,Non-essential,87.2,Colorectal,10.0,24
SLC29A3,0.445293778546456,0.352941176173999,0.7128965312777942,LYS,17,Non-essential,82.3,Breast,3.7,31
CLDN3,0.4340954408906465,0.9663865538097594,0.0062259116513489,SER,3,Non-essential,81.5,Ovarian,9.1,22
CACHD1,0.4268822817697887,0.201680672099428,0.5602727542247258,LYS,60,Non-essential,77.6,Low Grade Glioma,3.3,26
UNC93A,0.426764042395406,0.50420168024857,0.5067299140231247,LYS,11,Non-essential,85.1,Liver,1.4,2
RAET1L,0.4239574001853205,0.6470588229856649,0.4444707975096353,LYS,4,Non-essential,82.1,Head&Neck,3.9,6
ABCA12,0.4235952264693369,0.4873949575736176,0.3882004150607767,LYS,46,Non-essential,68.1,Head&Neck,2.0,5
ANO6,0.421479740533268,0.2773109241367135,0.6389564186184405,LYS,24,Non-essential,81.6,Kidney Clear Cell,5.5,32
PRSS8,0.4162477994392441,0.9159663857849024,0.0006522383634746,SER,3,Non-essential,83.7,Prostate,7.6,22
ATP13A3,0.4162057765048054,0.3109243694866181,0.4869848799288466,LYS,47,Non-essential,77.7,Esophageal,6.3,32
TSPAN1,0.4157297949060765,0.5882352936233318,0.4237770530684849,LYS,5,Non-essential,88.2,Prostate,9.8,26
MMEL1,0.4152696689703942,0.3277310921615705,0.5033501334123924,LYS,22,Non-essential,90.0,Prostate,4.1,21
