gene,rank,final_score,tsi_norm,pocket_norm,ldt_norm,ldt_score,n_pockets,n_nucleophiles,top_res_type,uniprot_id,tumor_median_log2,tumor_positive_rate,depmap_score,depmap_label,mean_plddt,plddt_below_70,plddt_below_50,enhanced_score,enhanced_rank,composite_primary,rank_primary,pu_score_v2,pu_score_v2_rank,maxITSI,best_cancer_ind,FC_best,P_tumor_best,pu_score_v3,pu_score_fused,pu_rank_fused,known_target,pu_score_v6,pu_rank_v6,bag_sd_v6,label,pu_score_v2b,pu_score_v4,pu_score_v5,pu_score_v5w,pu_score_v5w_fused,pu_rank_v5,bag_sd_v5,hpa_tumor_level_max,n_cancers_med_high,n_glyco_EC,geo_max_itsi,n_geo_itsi_pos,geo_max_fc,best_cancer,best_log2tpm,n_cancers_positive,enhanced_score_v2,rank_v2,eas,ntrs,risk_level,ctgov_n_trials,ctgov_max_phase,p2rank_top_score,p2rank_top_prob,p2rank_n_pockets,p2rank_filt_top_prob,p2rank_filt_n_pockets,purity_corr_max,high_purity_fc_shift,maxitsi_purityadj,expr_cv_median,tier,cohort,subsystem,failure_note
ABCC5,2,0.5745035107311252,0.2100840334369042,0.7843808318835995,0.8505188259709457,0.014344,60,54,LYS,O15440,3.64,0.998,0.0734512172488873,Non-essential,78.0,19.5,14.1,0.5777543261665528,1,0.6019733677607328,1,0.7054362185517994,212,0.3672,Lung Squamous,2.077,1.0,0.4585130457658209,0.7783171521035599,549,0,0.3113094026570008,1334,0.2147984156981361,0,0.5425019767676268,0.3263532266738928,0.3776640698285978,0.4034948679849362,1433.5,1273,0.2182353558243513,3.0,3.0,8,1.7995,2.0,1.8,Lung Squamous,6.1,32.0,0.5750009399301351,6,0.5,6.0,High,,,48.91,0.978,4.0,,,0.3245,0.363,0.4314,0.6603,,,solid,
MUC1,1,0.6306663642233262,0.4705882348986654,1.0,0.4747702342128668,0.008007,18,80,LYS,P15941,6.323,0.952,-0.1345589620294953,Non-essential,47.4,89.5,71.0,0.5588984407677495,2,0.5938984407677496,2,0.8706388096391147,24,1.1303,Cholangiocarcinoma,6.394,1.0,0.8805215926128023,0.9939320388349514,16,1,0.8083972056677773,101,0.0429337245550467,1,0.7617199787141458,0.7425090643577086,0.7645380721380709,0.7854089789237625,2291.5,142,0.0336011505854094,3.0,17.0,5,2.1069,1.0,3.01,Lung Adeno,9.8,30.0,0.6381011055672398,1,1.0,9.0,High,14.0,imaging only / historical,329.52,1.0,1.0,,0.0,0.3234,1.035,1.162,1.4614,tier2,original,solid,
ILDR1,3,0.5422744550741839,0.999999999159664,0.0351731772892614,0.4390750074117995,0.007405,9,9,LYS,Q86SU0,2.183,0.742,0.0044900349168342,Non-essential,59.0,66.1,52.6,0.5174620458811476,3,0.5042207047456106,3,0.7154959412453158,195,1.8136,Uterine,8.12,0.921,0.5852176453267658,0.8580097087378641,352,0,0.3231697769661706,1303,0.2545613060407035,0,0.7784485959999212,0.5904667712773465,0.5279649515961452,0.5968660668170966,2032.5,787,0.2426918860256597,3.0,13.0,0,0.6483,1.0,6.483,Kidney Chromophobe,4.2,19.0,0.5937496367301281,2,1.0,6.0,High,,,5.49,0.262,0.0,,0.0,0.2495,0.193,1.8065,0.7648,,,solid,
CDH1,5,0.4627036659187187,0.8739495790975214,0.0122410248299857,0.3648384227690482,0.006153,23,5,LYS,P12830,6.32,0.912,-0.0778074377143686,Non-essential,79.2,24.6,16.2,0.490552214583891,4,0.4761642658253902,5,0.8747145720050061,20,1.5472,Esophageal,8.233,0.994,0.9574618346694664,0.9979773462783172,6,0,0.9118997698944884,7,0.0757132639584193,0,0.9162705599537176,0.9098013543220094,0.8991267272762483,0.9194439349147552,2459.5,16,0.0889981064702693,3.0,18.0,4,0.3923,0.0,0.785,Thyroid,7.5,27.0,0.5843032842941871,5,1.0,9.0,High,,,,,0.0,,0.0,0.3336,1.148,1.574,0.6976,,,solid,
LY75,6,0.4610591282813983,0.3781512601864275,0.4270884074015499,0.6055736732878743,0.010213,93,66,LYS,O60449,2.115,0.796,0.0185996419073567,Non-essential,75.6,27.0,10.1,0.4785184612376056,5,0.4848728816076831,4,0.7664688857867081,112,1.3411,AML,7.467,1.0,0.6130669238028823,0.892799352750809,266,0,0.5120855864072991,760,0.2435130625772711,0,0.7439595660294749,0.547127495105213,0.6011544116765815,0.6651359533111936,2114.5,559,0.2597796011140486,3.0,17.0,14,1.0178,1.0,1.454,AML,4.8,26.0,0.5890702311844918,3,1.0,4.5,High,,,16.76,0.786,3.0,0.73,3.0,-0.0326,0.046,1.3329,1.0511,,,solid,
RHBDF2,4,0.4800755145176409,0.3277310921615705,0.1632769255100427,1.0,0.016865,24,20,LYS,Q6PJF5,4.288,0.998,-0.1918824563007465,Non-essential,67.4,43.5,34.9,0.4770251136340603,6,0.4701889599095624,7,0.5651510410603804,583,0.6223,Cholangiocarcinoma,3.52,1.0,0.7902787482225345,0.8713592233009708,319,0,0.4387122443241674,954,0.2848760663569223,0,0.4610448441509976,0.683248306600256,0.5094108435809456,0.6284891454964148,1610.0,849,0.2541237678748954,3.0,14.0,0,1.0987,2.0,1.099,Cholangiocarcinoma,5.5,32.0,0.4860881581424011,105,0.5,9.0,High,,,34.7,0.951,1.0,,,0.0388,0.265,0.5921,0.6141,,,solid,
ABCC4,7,0.4308771643021899,0.352941176173999,0.4492740787600822,0.5163949006818855,0.008709,71,43,LYS,O15439,2.022,0.877,0.1296438570640414,Non-essential,83.0,11.8,7.9,0.4681466565213916,7,0.4756103604593957,6,0.6454698642096045,351,0.8139,Cholangiocarcinoma,4.604,1.0,0.4789082788799151,0.7637540453074434,585,0,0.3963312031347656,1082,0.2653177710305582,0,0.6379195058688486,0.4691080926936791,0.3970193325723561,0.4143634746710868,1611.5,1201,0.2400052322476277,1.0,0.0,0,-0.0819,0.0,-0.082,Prostate,6.8,31.0,0.5845690899318934,4,1.0,0.0,Low,,,25.63,0.908,5.0,,0.0,0.1194,0.325,0.8503,1.0439,,,solid,
CLDN4,8,0.4155559482246479,0.8823529404349976,0.0055733038114818,0.2031426030240142,0.003426,5,3,LYS,O14493,7.182,0.847,0.0492802975086306,Non-essential,84.6,15.8,5.3,0.4602025058611231,8,0.4454811710516972,8,0.8445752090644691,35,1.4061,Cholangiocarcinoma,7.702,1.0,0.7768370695120512,0.973705501618123,66,0,0.7772501825165957,150,0.1418298855928563,0,0.9327458038130516,0.8261149328080245,0.7532692150858559,0.7422320519346601,2308.5,174,0.2481577258285017,3.0,16.0,0,0.2877,0.0,0.575,Colorectal,9.0,22.0,0.5615314164758486,8,1.0,9.0,High,,,,,0.0,0.006,0.0,0.2693,0.837,1.398,0.9162,,,solid,
EPCAM,11,0.4016498209774488,0.8067226883977121,0.0227044124624387,0.2404980729321078,0.004056,7,9,LYS,P16422,7.198,0.882,-0.134530407386485,Non-essential,87.2,13.4,3.5,0.4497535622878358,9,0.4358887829109578,11,0.8750727176736638,18,1.7471,Uterine,9.728,1.0,0.894904965177504,0.9963592233009708,10,1,0.8940059398252969,13,0.0232167952245873,1,0.920957923406848,0.9283450343035776,0.9273199504541374,0.9540578530954884,2468.5,3,0.0156294127983831,3.0,14.0,3,1.2793,2.0,2.559,Colorectal,10.0,24.0,0.5559211691783374,9,1.0,9.0,High,10.0,imaging only / historical,3.03,0.1,0.0,0.1,0.0,0.3546,0.613,1.7527,0.8994,tier2,new v4,solid,
SLC29A3,10,0.4117337107322673,0.352941176173999,0.1889609362644314,0.7128965312777942,0.012023,17,17,LYS,Q9BZD2,2.74,0.988,-0.0327084810632418,Non-essential,82.3,18.7,16.0,0.445293778546456,10,0.4397418253596776,9,0.4963501291288208,837,0.6196,Sarcoma,3.533,0.992,0.5263131136252166,0.6909385113268609,765,0,0.3024537045119659,1362,0.2241456749895393,0,0.5522294666021825,0.3754046191513082,0.315204077613736,0.3720575351123661,1416.0,1460,0.2213131237782662,2.0,12.0,1,1.6532,1.0,1.653,Breast,3.7,31.0,0.5649067875519449,7,1.0,6.0,High,,,50.7,0.98,1.0,,0.0,0.2003,0.315,0.5234,0.7083,,,solid,
