gene,n_orthologue_species,model_organism_count,conservation_level
MUC1,94,5,High (>5)
CDH1,199,9,High (>5)
CD24,78,4,Medium (3-5)
SEZ6L2,170,6,High (>5)
ILDR1,187,6,High (>5)
ITGB4,187,7,High (>5)
LY75,189,6,High (>5)
CLDN4,165,5,High (>5)
MET,196,9,High (>5)
HLA-DMB,108,6,High (>5)
EPCAM,189,7,High (>5)
CD48,95,5,High (>5)
TMEM132A,175,8,High (>5)
TGFA,180,7,High (>5)
ITGB6,193,7,High (>5)
RNF128,191,7,High (>5)
EPHB2,193,7,High (>5)
SLC39A4,176,8,High (>5)
ZP3,191,7,High (>5)
CADM1,195,8,High (>5)
