gene,confidence_tier,source_surfy,source_go,uniprot_id,description,length
PKD2,Tier2_SURFY_only,True,False,Q13563,Polycystin-2,968
TMEM158,Tier2_SURFY_only,True,False,Q8WZ71,Transmembrane protein 158,300
GJA4,Tier2_SURFY_only,True,False,P35212,Gap junction alpha-4 protein,333
PRRT3,Tier2_SURFY_only,True,False,Q5FWE3,Proline-rich transmembrane protein 3,981
LMAN2L,Tier2_SURFY_only,True,False,Q9H0V9,VIP36-like protein,348
ZDHHC11B,Tier2_SURFY_only,True,False,P0C7U3,Probable palmitoyltransferase ZDHHC11B,371
IL10RA,Tier2_SURFY_only,True,False,Q13651,Interleukin-10 receptor subunit alpha,578
APCDD1,Tier2_SURFY_only,True,False,Q8J025,Protein APCDD1,514
PCDHGB7,Tier2_SURFY_only,True,False,Q9Y5F8,Protocadherin gamma-B7,929
FFAR1,Tier2_SURFY_only,True,False,O14842,Free fatty acid receptor 1,300
OR10H3,Tier2_SURFY_only,True,False,O60404,Olfactory receptor 10H3,316
SELP,Tier2_SURFY_only,True,False,P16109,P-selectin,830
OR5H2,Tier2_SURFY_only,True,False,Q8NGV7,Olfactory receptor 5H2,314
ABCA1,Tier2_SURFY_only,True,False,O95477,ATP-binding cassette sub-family A member 1,2261
MCOLN1,Tier2_SURFY_only,True,False,Q9GZU1,Mucolipin-1,580
FREM2,Tier2_SURFY_only,True,False,Q5SZK8,FRAS1-related extracellular matrix protein 2,3169
AQP5,Tier2_SURFY_only,True,False,P55064,Aquaporin-5,265
KCNK5,Tier2_SURFY_only,True,False,O95279,Potassium channel subfamily K member 5,499
SLC12A8,Tier2_SURFY_only,True,False,A0AV02,Solute carrier family 12 member 8,714
GPR39,Tier2_SURFY_only,True,False,O43194,G-protein coupled receptor 39,453
GPR152,Tier2_SURFY_only,True,False,Q8TDT2,Probable G-protein coupled receptor 152,470
CA4,Tier2_SURFY_only,True,False,P22748,Carbonic anhydrase 4,312
PTGER4,Tier2_SURFY_only,True,False,P35408,Prostaglandin E2 receptor EP4 subtype,488
NRCAM,Tier2_SURFY_only,True,False,Q92823,Neuronal cell adhesion molecule,1304
TAAR5,Tier2_SURFY_only,True,False,O14804,Trace amine-associated receptor 5,337
OR5AC1,Tier2_SURFY_only,True,False,P0C628,Olfactory receptor 5AC1,307
NRG2,Tier2_SURFY_only,True,False,O14511,"Pro-neuregulin-2, membrane-bound isoform",850
EFNB2,Tier2_SURFY_only,True,False,P52799,Ephrin-B2,333
GRM7,Tier2_SURFY_only,True,False,Q14831,Metabotropic glutamate receptor 7,915
OR2M2,Tier2_SURFY_only,True,False,Q96R28,Olfactory receptor 2M2,347
KLRF1,Tier2_SURFY_only,True,False,Q9NZS2,Killer cell lectin-like receptor subfamily F member 1,232
