gene,rank,final_score,tsi_norm,pocket_norm,ldt_norm,ldt_score,n_pockets,n_nucleophiles,top_res_type,uniprot_id,tumor_median_log2,tumor_positive_rate,depmap_score,depmap_label,mean_plddt,plddt_below_70,plddt_below_50,enhanced_score,enhanced_rank
ABCC5,2,0.5745035107311252,0.2100840334369042,0.7843808318835995,0.8505188259709457,0.014344,60,54,LYS,O15440,3.64,0.998,0.07345121724888734,Non-essential,78.0,19.5,14.1,0.5777543261665528,1
MUC1,1,0.6306663642233262,0.4705882348986654,1.0,0.4747702342128668,0.008007,18,80,LYS,P15941,6.323,0.952,-0.13455896202949535,Non-essential,47.4,89.5,71.0,0.5588984407677495,2
ILDR1,3,0.5422744550741839,0.999999999159664,0.0351731772892614,0.4390750074117995,0.007405,9,9,LYS,Q86SU0,2.183,0.742,0.00449003491683425,Non-essential,59.0,66.1,52.6,0.5174620458811476,3
CDH1,5,0.4627036659187187,0.8739495790975214,0.0122410248299857,0.3648384227690482,0.006153,23,5,LYS,P12830,6.32,0.912,-0.0778074377143686,Non-essential,79.2,24.6,16.2,0.490552214583891,4
LY75,6,0.4610591282813983,0.3781512601864275,0.4270884074015499,0.6055736732878743,0.010213,93,66,LYS,O60449,2.115,0.796,0.01859964190735675,Non-essential,75.6,27.0,10.1,0.47851846123760566,5
RHBDF2,4,0.4800755145176409,0.3277310921615705,0.1632769255100427,1.0,0.016865,24,20,LYS,Q6PJF5,4.288,0.998,-0.19188245630074657,Non-essential,67.4,43.5,34.9,0.47702511363406036,6
ABCC4,7,0.4308771643021899,0.352941176173999,0.4492740787600822,0.5163949006818855,0.008709,71,43,LYS,O15439,2.022,0.877,0.12964385706404147,Non-essential,83.0,11.8,7.9,0.4681466565213916,7
CLDN4,8,0.4155559482246479,0.8823529404349976,0.0055733038114818,0.2031426030240142,0.003426,5,3,LYS,O14493,7.182,0.847,0.0492802975086306,Non-essential,84.6,15.8,5.3,0.46020250586112316,8
EPCAM,11,0.4016498209774488,0.8067226883977121,0.0227044124624387,0.2404980729321078,0.004056,7,9,LYS,P16422,7.198,0.882,-0.13453040738648508,Non-essential,87.2,13.4,3.5,0.44975356228783586,9
SLC29A3,10,0.4117337107322673,0.352941176173999,0.1889609362644314,0.7128965312777942,0.012023,17,17,LYS,Q9BZD2,2.74,0.988,-0.0327084810632418,Non-essential,82.3,18.7,16.0,0.445293778546456,10
CLDN3,14,0.3903467979925806,0.9663865538097594,0.0064146765775739,0.0062259116513489,0.000105,3,3,SER,O15551,4.814,0.763,0.10192763014880465,Non-essential,81.5,22.3,8.6,0.4340954408906465,11
CACHD1,12,0.3993851246817579,0.201680672099428,0.5021034319152301,0.5602727542247258,0.009449,68,60,LYS,Q5VU97,1.47,0.795,-0.02865238615677905,Non-essential,77.6,24.3,17.3,0.42688228176978876,12
UNC93A,17,0.3803528172695158,0.50420168024857,0.0888439032105013,0.5067299140231247,0.008546,22,11,LYS,Q86WB7,-4.293,0.182,0.0701394581118148,Non-essential,85.1,13.6,8.1,0.426764042395406,13
RAET1L,13,0.3934477037626713,0.6470588229856649,0.0042764510517159,0.4444707975096353,0.007496,9,4,LYS,Q5VY80,-3.047,0.245,-0.0632837516645214,Non-essential,82.1,29.7,11.8,0.4239574001853205,14
ABCA12,9,0.4148063726117319,0.4873949575736176,0.3446275502135062,0.3882004150607767,0.006547,162,46,LYS,Q86UK0,-2.727,0.284,0.0147802767617644,Non-essential,68.1,45.2,17.7,0.42359522646933695,15
ANO6,16,0.3805894701571873,0.2773109241367135,0.2599272497232326,0.6389564186184405,0.010776,51,24,LYS,Q4KMQ2,4.004,0.997,0.005084054979998949,Non-essential,81.6,15.3,6.6,0.421479740533268,16
PRSS8,24,0.369818031611395,0.9159663857849024,0.0107860192946386,0.0006522383634746,1.1e-05,17,3,SER,Q16651,6.189,0.829,-0.01263341251302995,Non-essential,83.7,22.2,16.6,0.41624779943924417,17
ATP13A3,19,0.3801884444160341,0.3109243694866181,0.3657441088091096,0.4869848799288466,0.008213,64,47,LYS,Q9H7F0,4.863,0.999,-0.01264391699844655,Non-essential,77.7,20.8,11.5,0.4162057765048054,18
TSPAN1,26,0.3639910480148252,0.5882352936233318,0.0052127154831567,0.4237770530684849,0.007147,5,5,LYS,O60635,5.348,0.881,-0.0753725143693718,Non-essential,88.2,12.4,4.6,0.41572979490607653,19
MMEL1,27,0.3637289809212417,0.3277310921615705,0.2721050134429859,0.5033501334123924,0.008489,33,22,LYS,Q495T6,1.177,0.643,-0.0838671325343793,Non-essential,90.0,8.3,7.6,0.41526966897039425,20
