gene,pocket_nucleophile,cosmic_url,mutation_relevance
MUC1,HIS,https://cancer.sanger.ac.uk/cosmic/gene/analysis?ln=MUC1,High
CDH1,LYS,https://cancer.sanger.ac.uk/cosmic/gene/analysis?ln=CDH1,High
CD24,HIS,https://cancer.sanger.ac.uk/cosmic/gene/analysis?ln=CD24,High
SEZ6L2,HIS,https://cancer.sanger.ac.uk/cosmic/gene/analysis?ln=SEZ6L2,High
CLDN4,LYS,https://cancer.sanger.ac.uk/cosmic/gene/analysis?ln=CLDN4,High
ILDR1,LYS,https://cancer.sanger.ac.uk/cosmic/gene/analysis?ln=ILDR1,High
EPCAM,LYS,https://cancer.sanger.ac.uk/cosmic/gene/analysis?ln=EPCAM,High
MET,HIS,https://cancer.sanger.ac.uk/cosmic/gene/analysis?ln=MET,High
LY75,LYS,https://cancer.sanger.ac.uk/cosmic/gene/analysis?ln=LY75,High
HLA-DMB,HIS,https://cancer.sanger.ac.uk/cosmic/gene/analysis?ln=HLA-DMB,High
ITGB4,HIS,https://cancer.sanger.ac.uk/cosmic/gene/analysis?ln=ITGB4,High
CD48,HIS,https://cancer.sanger.ac.uk/cosmic/gene/analysis?ln=CD48,High
TMEM132A,HIS,https://cancer.sanger.ac.uk/cosmic/gene/analysis?ln=TMEM132A,High
ITGB6,HIS,https://cancer.sanger.ac.uk/cosmic/gene/analysis?ln=ITGB6,High
EPHB2,HIS,https://cancer.sanger.ac.uk/cosmic/gene/analysis?ln=EPHB2,High
SLC39A4,HIS,https://cancer.sanger.ac.uk/cosmic/gene/analysis?ln=SLC39A4,High
RNF128,HIS,https://cancer.sanger.ac.uk/cosmic/gene/analysis?ln=RNF128,High
TGFA,HIS,https://cancer.sanger.ac.uk/cosmic/gene/analysis?ln=TGFA,High
ZP3,HIS,https://cancer.sanger.ac.uk/cosmic/gene/analysis?ln=ZP3,High
CADM1,HIS,https://cancer.sanger.ac.uk/cosmic/gene/analysis?ln=CADM1,High
SIRPG,HIS,https://cancer.sanger.ac.uk/cosmic/gene/analysis?ln=SIRPG,High
TSPAN1,LYS,https://cancer.sanger.ac.uk/cosmic/gene/analysis?ln=TSPAN1,High
GPR39,HIS,https://cancer.sanger.ac.uk/cosmic/gene/analysis?ln=GPR39,High
SLC52A3,HIS,https://cancer.sanger.ac.uk/cosmic/gene/analysis?ln=SLC52A3,High
CD14,HIS,https://cancer.sanger.ac.uk/cosmic/gene/analysis?ln=CD14,High
PRSS8,SER,https://cancer.sanger.ac.uk/cosmic/gene/analysis?ln=PRSS8,Medium
CLDN3,SER,https://cancer.sanger.ac.uk/cosmic/gene/analysis?ln=CLDN3,Medium
HLA-DQB1,HIS,https://cancer.sanger.ac.uk/cosmic/gene/analysis?ln=HLA-DQB1,High
PTK7,LYS,https://cancer.sanger.ac.uk/cosmic/gene/analysis?ln=PTK7,High
TACSTD2,LYS,https://cancer.sanger.ac.uk/cosmic/gene/analysis?ln=TACSTD2,High
